subnum,year,english,math,science,computer,music,art,phys.ed,attendance
1,2010,95,97,99,88,84,86,79,250
2,2010,52,82,69,68,87,88,80,249
3,2010,62,81,83,78,84,90,75,244
4,2010,76,83,67,90,90,90,80,243
5,2010,61,82,77,64,86,84,85,227
6,2010,34,62,66,46,87,84,74,219
7,2010,66,84,83,56,87,84,75,222
8,2010,72,78,92,82,88,88,75,232
9,2010,85,90,98,76,90,82,75,225
10,2010,85,89,94,82,90,88,75,238
11,2010,71,80,76,72,91,84,79,247
12,2010,95,98,100,94,92,88,80,225
13,2010,98,99,100,92,88,86,80,245
14,2010,75,95,82,72,89,86,79,239
15,2010,79,98,96,92,90,92,76,250
16,2010,73,90,81,80,87,88,75,242
17,2010,81,96,88,82,87,88,89,244
18,2010,91,94,92,96,90,90,76,242
19,2010,62,88,87,68,91,84,75,245
20,2010,73,88,76,72,89,84,76,245
21,2010,85,90,90,76,87,88,81,244
22,2010,87,91,94,66,91,92,75,249
23,2010,76,92,89,78,87,84,75,246
24,2010,96,99,98,90,90,92,85,245
25,2010,80,88,90,72,91,88,75,242
26,2010,88,97,97,86,89,86,76,248
27,2010,57,76,75,72,91,86,76,213
28,2010,71,89,78,84,91,90,74,245
29,2010,41,74,58,62,88,88,80,231
30,2010,77,92,88,82,90,86,79,243
31,2010,76,92,85,50,91,86,76,246
32,2010,70,92,81,76,86,86,84,246
33,2010,90,93,97,66,89,90,80,239
34,2010,93,94,96,90,89,92,76,247
35,2010,80,89,82,88,91,92,89,243
36,2010,58,81,78,72,90,86,80,246
37,2010,89,97,96,82,89,88,80,237
38,2010,85,91,94,58,85,84,81,245
39,2010,97,96,100,94,90,90,85,240
40,2010,85,88,95,62,83,84,75,249
41,2010,59,69,66,77,87,86,76,187
42,2010,72,88,79,64,85,90,80,246
43,2010,89,98,94,84,90,88,79,244
44,2010,93,93,96,80,92,86,75,244
45,2010,60,80,70,70,91,84,76,236
46,2010,43,87,45,70,90,88,81,242
47,2010,60,86,75,62,87,84,74,239
48,2010,91,92,98,72,90,92,75,242
49,2010,43,72,53,76,87,88,80,241
50,2010,91,96,97,84,89,92,75,250
51,2010,73,83,86,90,88,88,80,243
52,2010,35,85,47,38,90,90,80,246
53,2010,87,90,95,76,89,88,76,241
54,2010,97,95,99,90,91,88,93,248
55,2010,,,,,,,,
56,2010,66,78,74,52,89,90,85,229
57,2010,,,,,,,,
58,2010,85,98,90,82,91,84,81,248
59,2010,54,50,62,80,90,82,75,234
60,2010,69,95,81,88,90,82,75,241
61,2010,40,79,61,74,88,86,75,246
62,2010,51,64,64,66,86,82,76,241
63,2010,98,100,100,86,91,92,86,247
64,2010,67,92,84,70,91,86,81,242
65,2010,90,91,96,82,89,92,76,228
66,2010,32,74,37,46,85,84,80,233
67,2010,47,67,54,76,88,86,79,246
68,2010,79,89,85,88,84,90,74,242
69,2010,83,93,86,78,91,84,74,245
70,2010,87,92,94,82,90,88,85,243
71,2010,83,93,90,94,91,90,76,234
72,2010,95,100,98,94,89,86,80,243
73,2010,28,60,40,56,86,84,79,221
74,2010,90,93,96,78,90,84,74,247
75,2010,96,97,98,96,88,92,80,246
76,2010,82,92,87,78,90,90,79,245
77,2010,52,64,64,56,89,84,89,237
78,2010,97,96,99,90,88,82,90,242
79,2010,96,97,98,94,91,84,76,245
80,2010,69,81,70,72,86,84,79,250
81,2010,73,89,86,36,87,86,76,244
82,2010,78,98,80,82,91,88,85,243
83,2010,58,79,82,50,83,80,75,232
84,2010,75,82,81,74,90,84,75,244
85,2010,49,73,73,84,84,80,75,239
86,2010,57,81,65,64,86,86,76,240
87,2010,72,85,81,74,87,84,74,251
88,2010,69,84,79,58,88,88,75,245
89,2010,88,98,96,84,93,92,89,232
90,2010,68,79,76,80,89,86,75,242
91,2010,81,95,81,80,89,88,85,247
92,2010,94,95,97,80,87,88,80,246
93,2010,51,73,65,50,85,84,76,234
94,2010,66,79,75,78,89,86,75,238
95,2010,68,74,79,52,88,82,76,240
96,2010,87,94,94,70,90,86,80,242
97,2010,94,93,100,80,89,82,90,236
98,2010,94,97,98,66,91,88,75,250
99,2010,95,98,98,82,89,84,75,251
100,2010,76,89,81,88,88,88,80,249
101,2010,50,66,70,66,89,86,76,238
102,2010,92,96,96,40,88,86,85,240
103,2010,55,79,58,68,91,86,80,225
104,2010,74,81,82,74,88,84,75,251
105,2010,54,74,71,66,87,84,76,250
106,2010,61,79,77,84,86,82,75,217
107,2010,76,85,84,76,88,84,80,236
108,2010,91,92,94,78,91,92,80,246
109,2010,70,89,84,80,92,86,84,241
110,2010,89,95,94,88,89,88,80,236
111,2010,93,95,100,94,89,86,75,247
112,2010,45,73,49,54,86,84,79,241
113,2010,,,,,,,,
114,2010,81,88,88,80,90,86,84,233
115,2010,89,96,96,82,84,90,76,243
116,2010,74,89,77,68,89,90,80,247
117,2010,59,85,63,64,91,90,80,240
118,2010,,,,,,,,
119,2010,80,98,84,80,90,88,75,240
120,2010,31,67,36,48,87,90,85,241
121,2010,91,96,96,76,87,84,80,240
122,2010,82,94,92,84,89,82,81,243
123,2010,68,90,77,80,90,82,86,247
124,2010,72,76,87,84,86,88,79,234
125,2010,72,95,81,64,85,86,85,241
126,2010,86,94,91,86,90,84,84,249
127,2010,75,89,88,80,88,92,75,249
128,2010,39,78,49,58,91,86,81,245
129,2010,84,88,88,84,84,84,74,242
130,2010,64,87,82,62,85,88,75,242
131,2010,61,89,83,62,91,84,75,245
132,2010,32,54,51,44,85,86,79,218
133,2010,76,88,82,76,88,84,81,246
134,2010,93,91,99,82,91,90,79,240
135,2010,75,92,91,80,88,82,75,245
136,2010,81,92,88,80,88,88,81,244
137,2010,71,83,83,38,83,84,80,241
138,2010,68,81,76,76,90,90,79,236
139,2010,36,63,61,54,84,88,76,246
140,2010,84,80,93,82,90,84,74,233
141,2010,92,97,97,80,91,88,75,249
142,2010,31,65,60,50,88,84,76,220
143,2010,26,65,28,40,86,84,80,223
144,2010,87,90,90,76,86,88,75,250
145,2010,61,82,78,62,89,88,79,236
146,2010,83,96,94,96,88,92,80,250
147,2010,67,81,81,76,85,86,75,246
148,2010,74,87,89,68,90,84,75,247
149,2010,83,91,91,76,88,88,75,224
150,2010,,,,,,,,
151,2010,65,89,84,82,90,92,81,237
152,2010,88,97,98,92,91,90,91,239
153,2010,40,68,38,46,89,88,76,245
154,2010,74,96,85,84,88,88,85,250
155,2010,98,98,100,96,88,94,85,251
156,2010,76,80,89,82,90,84,80,247
157,2010,88,95,95,70,90,90,81,245
158,2010,58,85,73,56,92,82,74,250
159,2010,87,92,94,82,86,90,80,251
160,2010,89,96,98,84,90,86,75,251
161,2010,88,91,96,86,86,86,76,246
162,2010,78,89,89,78,84,84,85,235
163,2010,91,92,98,78,87,92,75,245
164,2010,80,98,92,94,91,92,76,247
165,2010,73,91,72,88,91,90,81,242
166,2010,,,,,,,,
167,2010,82,90,92,84,91,86,86,250
168,2010,,,,,,,,
169,2010,81,86,93,78,91,82,76,239
170,2010,82,85,86,76,86,92,75,238
171,2010,86,88,85,70,89,84,86,250
172,2010,79,91,86,70,89,90,75,230
173,2010,92,89,98,92,85,92,75,235
174,2010,86,98,93,86,88,88,76,244
175,2010,71,89,85,60,91,82,75,244
176,2010,67,82,80,70,91,84,76,241
177,2010,63,86,77,82,80,86,80,244
178,2010,75,89,80,76,88,84,80,233
179,2010,88,88,89,88,91,88,76,246
180,2010,83,95,91,86,91,88,75,234
181,2010,92,92,93,92,91,86,75,248
182,2010,80,88,91,90,91,86,76,244
183,2010,95,93,99,78,85,84,80,244
184,2010,88,90,93,88,85,84,84,246
185,2010,78,91,91,72,87,90,76,243
186,2010,40,55,49,64,84,86,75,225
187,2010,44,66,58,80,91,86,79,234
188,2010,77,92,86,98,89,90,76,243
189,2010,89,93,97,90,91,90,80,250
190,2010,88,94,93,70,89,88,79,249
191,2010,36,50,42,40,88,82,75,247
192,2010,62,90,61,86,91,86,80,248
193,2010,63,81,78,74,84,86,85,231
194,2010,73,83,85,82,89,86,75,246
195,2010,87,96,94,86,88,92,81,240
196,2010,97,97,100,78,88,86,76,248
197,2010,67,90,89,70,89,82,80,238
198,2010,60,69,78,74,90,84,75,243
199,2010,63,84,81,58,91,86,74,246
200,2010,56,71,63,64,88,90,80,246
201,2010,75,87,80,82,89,88,76,242
202,2010,82,90,85,80,91,90,81,250
203,2010,81,84,88,86,91,86,76,247
204,2010,94,99,99,96,90,86,80,241
205,2010,68,79,84,68,89,84,76,242
206,2010,58,79,73,84,89,86,79,243
207,2010,88,98,97,86,90,84,85,244
208,2010,65,79,76,80,84,90,80,244
209,2010,,,,,,,,
210,2010,,,,,,,,
211,2010,,,,,,,,
212,2010,,,,,,,,
213,2010,,,,,,,,
214,2010,,,,,,,,
215,2010,,,,,,,,
