subnum,year,english,math,science,computer,music,art,phys.ed,attendance
1,2011,98,98,99,87,74,86,87,233
2,2011,72,87,61,81,79,88,85,234
3,2011,67,72,83,62,84,86,85,219
4,2011,51,69,67,62,93,92,88,228
5,2011,58,74,69,61,80,88,87,217
6,2011,43,37,50,51,79,86,89,221
7,2011,80,85,86,69,80,86,85,215
8,2011,80,64,86,70,83,86,88,229
9,2011,81,73,89,75,83,86,88,230
10,2011,87,78,92,61,78,86,87,228
11,2011,66,64,81,66,80,86,85,220
12,2011,96,96,99,90,84,94,88,230
13,2011,98,100,100,89,80,82,87,237
14,2011,79,86,89,71,79,88,87,229
15,2011,94,87,98,69,83,86,88,231
16,2011,70,79,87,57,75,90,87,223
17,2011,76,77,82,71,79,86,87,217
18,2011,92,89,94,92,96,90,87,213
19,2011,63,74,57,57,81,86,87,232
20,2011,85,88,85,67,81,90,85,240
21,2011,89,96,92,78,79,88,89,240
22,2011,85,89,96,65,84,92,89,210
23,2011,73,82,73,59,80,82,86,234
24,2011,98,96,99,88,84,92,86,217
25,2011,96,92,100,80,83,88,85,240
26,2011,96,92,98,67,81,88,86,227
27,2011,60,73,71,35,85,82,88,228
28,2011,72,81,85,52,82,86,87,237
29,2011,76,74,89,73,79,90,87,229
30,2011,92,90,99,79,84,88,85,234
31,2011,91,87,97,64,78,90,89,211
32,2011,77,84,80,70,84,88,87,223
33,2011,87,81,86,71,84,88,89,189
34,2011,98,90,99,82,80,90,87,231
35,2011,86,93,93,63,78,60,86,232
36,2011,69,72,72,53,78,84,86,237
37,2011,90,96,100,68,89,90,87,227
38,2011,83,91,97,73,79,84,86,220
39,2011,98,97,100,87,83,88,88,235
40,2011,90,91,98,58,82,88,85,235
41,2011,73,83,95,64,85,86,88,205
42,2011,81,78,83,60,75,86,85,229
43,2011,92,97,97,83,80,82,86,236
44,2011,97,93,97,82,74,86,88,223
45,2011,55,67,67,44,87,88,85,190
46,2011,35,59,52,54,84,84,88,231
47,2011,92,94,97,55,83,86,88,229
48,2011,93,94,97,60,79,85,89,230
49,2011,64,68,60,68,81,82,85,236
50,2011,92,96,99,81,81,86,85,235
51,2011,91,82,98,72,75,86,84,238
52,2011,49,74,50,49,82,82,87,230
53,2011,91,86,93,78,75,86,87,237
54,2011,95,91,97,86,81,88,92,232
55,2011,,,,,,,,
56,2011,75,71,73,60,93,86,86,237
57,2011,,,,,,,,
58,2011,94,96,96,82,84,90,88,228
59,2011,61,52,67,60,85,80,87,230
60,2011,81,84,91,68,76,88,87,218
61,2011,66,79,75,69,83,60,86,238
62,2011,60,70,70,68,78,85,87,227
63,2011,98,96,99,90,85,96,86,229
64,2011,94,93,97,76,81,90,85,231
65,2011,96,89,97,80,79,90,87,206
66,2011,68,78,67,59,79,90,85,230
67,2011,43,49,35,61,80,90,84,229
68,2011,83,87,95,81,85,90,88,222
69,2011,86,89,94,65,84,84,87,226
70,2011,89,83,92,72,80,86,85,230
71,2011,92,89,99,81,84,90,88,232
72,2011,85,89,100,86,78,88,85,222
73,2011,71,75,79,62,80,86,86,219
74,2011,93,91,98,53,80,82,86,235
75,2011,96,97,99,46,83,86,85,221
76,2011,93,94,98,84,87,88,86,233
77,2011,60,62,72,60,73,74,87,236
78,2011,94,96,97,85,77,82,85,232
79,2011,98,96,100,88,83,88,88,232
80,2011,77,72,87,61,77,84,85,234
81,2011,73,76,89,50,77,84,87,220
82,2011,82,91,89,65,81,84,87,224
83,2011,36,60,43,50,82,84,86,218
84,2011,80,82,90,52,77,86,84,213
85,2011,67,78,79,61,78,82,88,231
86,2011,74,83,81,68,76,86,87,234
87,2011,78,85,90,61,84,88,84,224
88,2011,72,82,86,54,84,86,85,227
89,2011,88,88,96,84,88,88,87,233
90,2011,74,74,80,65,79,92,85,229
91,2011,93,86,96,80,82,92,87,231
92,2011,94,95,98,86,80,84,86,235
93,2011,88,90,92,61,85,88,89,208
94,2011,73,78,87,74,77,90,88,216
95,2011,60,74,79,68,81,88,89,227
96,2011,93,92,98,73,82,82,87,239
97,2011,92,92,98,78,77,90,90,232
98,2011,96,96,100,82,83,86,84,236
99,2011,94,94,100,80,81,82,89,233
100,2011,93,97,99,70,79,86,84,240
101,2011,67,62,77,68,80,86,87,225
102,2011,92,86,97,72,80,86,88,227
103,2011,43,56,52,49,82,86,88,197
104,2011,61,71,69,73,79,86,89,236
105,2011,52,69,60,57,77,86,86,236
106,2011,54,58,60,57,80,88,86,217
107,2011,84,88,87,73,84,88,89,235
108,2011,90,90,98,74,78,88,86,232
109,2011,86,79,89,63,87,84,87,217
110,2011,87,92,96,83,79,82,87,238
111,2011,91,92,93,93,78,86,88,234
112,2011,52,70,55,60,76,86,87,233
113,2011,,,,,,,,
114,2011,89,84,91,56,82,86,85,222
115,2011,94,92,96,81,83,90,84,235
116,2011,91,91,94,76,78,92,87,235
117,2011,75,83,79,35,75,80,87,220
118,2011,,,,,,,,
119,2011,78,83,87,53,81,84,87,219
120,2011,,,,,,,,
121,2011,90,92,94,70,82,86,86,232
122,2011,79,70,90,54,81,84,87,230
123,2011,85,88,92,75,83,82,86,229
124,2011,75,88,87,66,78,88,89,227
125,2011,89,89,98,66,76,84,85,233
126,2011,81,80,96,64,74,80,87,222
127,2011,72,75,80,68,82,86,88,237
128,2011,55,76,64,67,78,84,89,229
129,2011,91,87,95,87,74,80,87,236
130,2011,91,94,90,69,79,92,87,236
131,2011,62,78,85,56,80,82,89,233
132,2011,35,36,49,58,76,86,86,195
133,2011,85,85,85,68,79,90,85,230
134,2011,94,93,99,90,84,90,86,237
135,2011,81,89,97,66,74,86,85,232
136,2011,91,83,92,79,79,88,86,235
137,2011,82,80,88,63,78,90,86,239
138,2011,82,84,89,65,80,84,88,226
139,2011,53,48,57,51,78,80,85,224
140,2011,89,72,91,68,76,80,88,234
141,2011,93,98,99,74,82,86,87,234
142,2011,41,64,66,56,73,90,87,226
143,2011,25,40,27,55,77,86,89,197
144,2011,91,88,98,84,78,86,87,236
