subnum,year,english,math,science,computer,music,art,phys.ed,attendance
1,2012,94,95,94,78,70,78,93,237
2,2012,,,,,,,,
3,2012,,,,,,,,
4,2012,25,38,42,44,75,85,71,219
5,2012,48,57,47,67,70,71,82,220
6,2012,33,33,26,69,76,77,87,230
7,2012,47,40,59,55,72,72,88,220
8,2012,73,79,64,72,79,75,74,232
9,2012,79,79,74,72,76,76,79,237
10,2012,71,67,69,57,73,75,81,228
11,2012,67,55,58,64,77,76,79,224
12,2012,90,91,96,79,78,79,72,235
13,2012,95,91,99,74,78,79,76,237
14,2012,58,67,83,72,73,78,86,226
15,2012,88,89,86,80,74,81,82,237
16,2012,48,65,53,65,72,82,90,229
17,2012,76,83,92,71,78,80,84,227
18,2012,93,90,95,78,83,90,78,228
19,2012,58,80,68,68,72,68,85,238
20,2012,75,83,71,75,72,77,83,242
21,2012,80,79,82,71,77,78,87,243
22,2012,82,80,84,80,69,84,86,234
23,2012,34,63,39,64,66,70,74,225
24,2012,86,90,89,83,74,85,77,219
25,2012,81,67,82,86,79,81,78,230
26,2012,87,92,90,78,70,77,80,227
27,2012,61,59,66,74,79,76,90,229
28,2012,53,63,51,73,74,76,83,239
29,2012,68,45,74,72,74,77,86,233
30,2012,85,75,92,77,75,76,85,238
31,2012,,,,,,,,
32,2012,40,65,52,71,76,83,87,227
33,2012,94,83,90,75,73,72,56,210
34,2012,82,87,87,81,83,78,81,239
35,2012,67,85,60,75,81,82,84,240
36,2012,50,61,44,66,81,72,84,235
37,2012,91,87,92,67,77,81,83,236
38,2012,63,74,71,60,74,76,87,216
39,2012,97,92,99,80,76,77,77,235
40,2012,81,71,87,74,69,85,81,238
41,2012,70,68,78,71,69,73,67,211
42,2012,69,62,64,64,73,82,92,233
43,2012,77,85,83,73,78,76,80,234
44,2012,90,85,96,74,78,78,70,230
45,2012,38,45,45,54,60,68,64,205
46,2012,16,35,15,58,67,72,76,215
47,2012,95,92,94,77,79,79,83,231
48,2012,96,83,92,66,73,75,78,234
49,2012,53,45,51,69,73,77,76,230
50,2012,90,88,94,82,74,82,93,241
51,2012,81,78,79,78,76,75,83,237
52,2012,46,55,34,60,70,72,79,229
53,2012,70,70,86,71,81,78,82,240
54,2012,93,72,96,79,77,82,86,242
55,2012,,,,,,,,
56,2012,36,64,33,71,82,71,90,237
57,2012,,,,,,,,
58,2012,87,88,88,77,83,80,77,236
59,2012,41,25,41,55,66,54,68,227
60,2012,57,64,63,70,74,75,78,224
61,2012,33,55,30,72,78,70,85,232
62,2012,52,63,51,70,77,78,83,236
63,2012,91,92,97,85,79,82,79,237
64,2012,68,68,66,75,75,79,83,236
65,2012,80,64,79,73,73,82,83,204
66,2012,51,66,50,75,68,74,86,213
67,2012,14,17,19,58,72,78,84,229
68,2012,67,81,66,78,80,73,86,223
69,2012,88,71,88,57,79,74,72,222
70,2012,70,72,70,66,74,78,85,224
71,2012,88,75,84,80,83,81,79,236
72,2012,92,88,94,85,67,81,79,234
73,2012,49,57,46,71,63,76,73,226
74,2012,94,92,97,76,71,75,87,236
75,2012,91,94,93,79,81,87,86,230
76,2012,92,90,94,80,81,84,77,242
77,2012,,,,,,,,
78,2012,,,,,,,,
79,2012,91,85,96,81,79,75,82,233
80,2012,59,47,61,66,69,79,83,241
81,2012,50,46,58,70,65,77,76,232
82,2012,43,74,49,70,69,86,85,229
83,2012,28,35,43,71,68,75,73,224
84,2012,63,64,72,70,72,78,83,195
85,2012,53,68,53,73,73,77,82,234
86,2012,41,38,52,71,70,83,77,234
87,2012,80,78,72,74,72,76,81,242
88,2012,68,63,70,75,63,85,68,217
89,2012,76,95,80,75,86,89,91,232
90,2012,62,61,72,78,77,82,84,235
91,2012,79,76,80,76,76,77,74,235
92,2012,89,79,88,69,76,76,77,232
93,2012,56,49,52,69,75,79,71,219
94,2012,72,52,61,71,73,70,76,222
95,2012,27,33,34,67,71,68,81,231
96,2012,90,88,88,79,75,78,74,226
97,2012,83,72,84,78,72,80,93,227
98,2012,88,90,83,72,76,71,73,237
99,2012,93,97,96,83,75,74,89,242
100,2012,92,87,95,81,75,84,85,236
101,2012,60,55,63,69,74,77,85,230
102,2012,88,74,90,72,71,78,85,226
103,2012,33,27,36,42,81,77,82,220
104,2012,54,43,59,68,75,69,83,236
105,2012,34,37,36,62,74,73,75,236
106,2012,63,64,64,61,69,82,89,213
107,2012,79,69,82,78,79,79,82,240
108,2012,67,77,73,62,75,79,74,226
109,2012,78,78,75,75,69,79,83,222
110,2012,71,84,72,75,72,70,84,243
111,2012,80,82,89,85,78,77,87,224
112,2012,69,67,71,73,72,81,80,239
113,2012,,,,,,,,
114,2012,85,74,88,68,72,80,87,230
115,2012,83,80,82,78,79,81,78,241
116,2012,80,74,78,78,80,88,78,237
117,2012,64,69,70,70,70,81,84,222
118,2012,,,,,,,,
119,2012,72,77,67,63,82,79,87,223
120,2012,,,,,,,,
121,2012,87,81,88,70,79,73,81,229
122,2012,51,56,66,78,79,79,89,233
123,2012,61,65,58,76,68,80,89,223
124,2012,75,73,65,69,73,77,88,230
125,2012,73,76,83,59,73,75,85,229
126,2012,,,,,,,,
127,2012,48,57,61,63,74,74,87,240
128,2012,34,62,39,66,76,72,77,232
129,2012,80,84,86,73,75,70,84,237
130,2012,66,81,72,76,76,84,80,239
131,2012,33,45,38,68,77,78,85,235
132,2012,8,12,5,55,55,65,72,164
133,2012,75,61,59,74,72,86,83,231
134,2012,88,81,86,79,80,83,84,235
135,2012,71,84,74,74,60,76,75,237
136,2012,75,61,84,57,76,84,78,243
137,2012,49,71,66,74,72,84,85,238
138,2012,42,49,50,69,72,75,81,226
139,2012,46,33,52,73,79,65,68,213
140,2012,,,,,,,,
141,2012,72,82,80,80,82,80,71,237
142,2012,26,34,33,67,76,84,82,227
143,2012,11,26,15,63,72,78,80,178
144,2012,91,92,98,76,74,78,83,241
145,2012,25,62,33,68,74,81,88,232
146,2012,75,85,87,76,74,82,88,245
147,2012,,,,,,,,
148,2012,63,78,63,67,74,83,80,224
149,2012,55,71,69,78,79,76,82,230
150,2012,,,,,,,,
151,2012,69,64,68,72,73,88,78,219
152,2012,86,96,95,79,74,80,75,225
153,2012,33,49,33,64,71,83,82,232
154,2012,81,84,84,79,75,83,90,225
155,2012,94,95,97,83,79,86,88,243
156,2012,59,44,60,65,69,73,80,241
157,2012,93,94,96,84,75,76,85,233
158,2012,54,73,64,74,78,78,80,239
159,2012,80,89,88,78,78,77,83,236
160,2012,89,97,88,80,78,80,88,240
161,2012,74,81,87,76,71,78,74,238
162,2012,28,34,42,66,69,76,89,239
163,2012,70,72,72,74,77,82,80,236
164,2012,70,83,75,81,89,88,89,230
165,2012,85,85,86,87,86,87,82,231
166,2012,,,,,,,,
167,2012,61,66,61,66,75,79,86,240
168,2012,,,,,,,,
169,2012,75,70,68,70,74,76,69,203
170,2012,91,88,97,72,78,73,73,242
171,2012,39,51,43,71,81,80,88,236
172,2012,61,54,66,71,73,78,87,217
173,2012,89,85,92,66,77,78,82,228
174,2012,55,68,59,67,73,79,83,237
175,2012,49,68,55,69,70,83,80,232
176,2012,43,53,58,70,68,75,80,229
177,2012,35,49,40,70,74,75,80,238
178,2012,68,67,56,71,76,84,84,241
179,2012,89,79,89,80,77,80,80,240
180,2012,93,94,93,82,82,89,85,227
181,2012,76,84,71,79,73,78,88,239
182,2012,66,63,73,73,72,77,81,232
183,2012,90,90,92,78,57,76,79,237
184,2012,91,91,93,77,69,77,82,241
185,2012,68,77,73,72,67,83,76,232
