"subnum","year","placeval","ravens","wiat","woodcock","arith","wholegroupsums","abacus","age","female","condition","verbalwm","spatialwm","ans","english","math","science","computer","music","art","phys.ed","attendance","mental.rot"
1,0,0.181818182,NA,NA,0.302325581,0.208333333,NA,1,6.4,0,"abacus",1.92,3.67,0.54,95,97,99,88,84,86,79,250,0.166666666666667
1,1,0.545454545,0.416666667,0.375,0.395348837,0.354166667,NA,1,6.4,0,"abacus",4.21,3.71,0.13,98,98,99,87,74,86,87,233,0.46875
1,2,0.909090909,0.5,0.4375,0.441860465,0.541666667,0.614285714,1,6.4,0,"abacus",3.88,4.79,0.17,94,95,94,78,70,78,93,237,0.625
1,3,1,0.375,0.5625,0.604651163,0.791666667,0.7,1,6.4,0,"abacus",3.79,3.67,0.13,92,91,92,76,56,84,81,238,0.59375
10,0,0.272727273,NA,NA,0.209302326,0.145833333,NA,0,6.4,0,"control",2.12,1.46,0.59,85,89,94,82,90,88,75,238,0.125
10,1,0.090909091,0.666666667,0.3125,0.325581395,0.125,NA,0,6.4,0,"control",4.21,1.33,0.15,87,78,92,61,78,86,87,228,0.270833333333333
10,2,0.363636364,0.416666667,0.28125,0.395348837,0.25,0.264285714,0,6.4,0,"control",4.67,3.79,0.09,71,67,69,57,73,75,81,228,0.614583333333333
10,3,1,0.625,0.46875,0.465116279,0.354166667,0.492857143,0,6.4,0,"control",4.25,5.12,0.12,79,62,54,66,63,82,84,217,0.583333333333333
100,0,0.181818182,0.25,0.1875,0.325581395,0.1875,NA,0,6.8,0,"control",3.67,3.67,0.1,76,89,81,88,88,88,80,249,0.302083333333333
100,1,0.363636364,0.583333333,0.375,0.441860465,0.208333333,NA,0,6.8,0,"control",4.25,2.96,0.1,93,97,99,70,79,86,84,240,0.791666666666667
100,2,0.636363636,0.375,0.46875,0.465116279,0.4375,0.428571429,0,6.8,0,"control",2.88,4.25,0.06,92,87,95,81,75,84,85,236,0.479166666666667
100,3,1,0.791666667,0.65625,0.581395349,0.520833333,0.485714286,0,6.8,0,"control",4.46,4.38,0.08,91,94,87,80,76,86,83,226,0.833333333333333
101,0,0.181818182,0.083333333,0.0625,0.279069767,0.104166667,NA,0,5.9,1,"control",1.79,2.88,NA,50,66,70,66,89,86,76,238,-0.125
101,1,0,0.416666667,0.125,0.186046512,0.104166667,NA,0,5.9,1,"control",4,3.17,NA,67,62,77,68,80,86,87,225,0.166666666666667
101,2,0.272727273,0.25,0.25,0.279069767,0.270833333,0.121428571,0,5.9,1,"control",3.17,2.58,0.15,60,55,63,69,74,77,85,230,0.239583333333333
101,3,0.6,0.166666667,0.28125,0.418604651,0.25,0.271428571,0,5.9,1,"control",3.12,4.83,0.17,60,56,48,64,58,86,84,228,0.125
102,0,0.454545455,0.666666667,0.125,0.279069767,0.208333333,NA,1,7,0,"abacus",3.71,3.71,0.38,92,96,96,40,88,86,85,240,0.625
102,1,0.181818182,0.75,0.25,0.348837209,0.25,NA,1,7,0,"abacus",4,3.79,0.42,92,86,97,72,80,86,88,227,0.635416666666667
102,2,0.636363636,0.583333333,0.34375,0.395348837,0.395833333,0.478571429,1,7,0,"abacus",2.92,5.58,0.15,88,74,90,72,71,78,85,226,0.708333333333333
102,3,0.6,0.5,0.46875,0.511627907,0.395833333,0.564285714,1,7,0,"abacus",4.67,5.25,0.14,82,77,89,82,68,80,82,228,0.8125
104,0,0.272727273,0.5,0.09375,0.23255814,0.125,NA,1,6.8,0,"abacus",2.79,1.96,0.54,74,81,82,74,88,84,75,251,0.135416666666667
104,1,0,0.583333333,0.15625,0.23255814,0.145833333,NA,1,6.8,0,"abacus",3.17,3.67,0.1,61,71,69,73,79,86,89,236,0.46875
104,2,0.636363636,0.541666667,0.34375,0.372093023,0.270833333,0.335714286,1,6.8,0,"abacus",4.25,4.38,0.27,54,43,59,68,75,69,83,236,0.427083333333333
104,3,0.7,0.541666667,0.375,0.372093023,0.354166667,0.428571429,1,6.8,0,"abacus",3.96,4.12,0.21,65,54,50,64,63,78,83,232,0.229166666666667
105,0,0.181818182,0.583333333,NA,0.046511628,0.083333333,NA,1,6.8,1,"abacus",2.5,1.88,0.61,54,74,71,66,87,84,76,250,0.322916666666667
105,1,0,0.5,0.21875,0.279069767,0.0625,NA,1,6.8,1,"abacus",4.04,2.83,0.15,52,69,60,57,77,86,86,236,0.21875
105,2,0,0.416666667,0.21875,0.255813953,0.208333333,0.107142857,1,6.8,1,"abacus",3.08,2.62,0.21,34,37,36,62,74,73,75,236,0.3125
105,3,0,0.25,0.28125,0.372093023,0.208333333,0.121428571,1,6.8,1,"abacus",3.54,2.21,0.15,41,46,37,62,67,82,80,232,0.229166666666667
106,0,0.272727273,0.75,0.09375,0.302325581,0.166666667,NA,0,6.8,0,"control",3.12,2.83,0.14,61,79,77,84,86,82,75,217,-0.104166666666667
