subnum,abacus,age,female,condition,class
1,1,6.4,0,abacus,B
2,1,6.7,1,abacus,A
3,0,6.2,1,control,B
4,0,7.5,0,control,C
5,0,7.3,0,control,C
6,0,6.9,0,control,C
7,0,7.2,0,control,C
8,0,5.9,1,control,C
9,0,5.9,1,control,C
10,0,6.4,0,control,C
11,0,6.2,0,control,C
12,0,6.5,0,control,C
13,1,6.2,0,abacus,A
14,0,7.1,0,control,B
15,0,7.1,1,control,C
16,1,7.1,0,abacus,B
17,0,6.7,0,control,C
18,0,6.9,1,control,B
19,0,5.8,0,control,C
20,1,6.5,0,abacus,A
21,1,6.4,0,abacus,A
22,0,5.8,1,control,
23,1,6.9,0,abacus,A
24,1,6.9,1,abacus,A
25,1,6.6,1,abacus,
26,0,7.7,0,control,C
27,0,6.3,1,control,C
28,1,6.8,1,abacus,B
29,0,6.1,0,control,C
30,0,6.5,0,control,C
31,,,,control,B
32,1,6.9,1,abacus,A
33,1,6.9,1,abacus,B
34,0,5.8,1,control,B
35,1,7.6,0,abacus,A
36,1,6.4,0,abacus,A
37,0,7.5,0,control,C
38,1,7.1,0,abacus,A
39,1,7.2,0,abacus,A
40,0,6.3,0,control,C
41,0,6.2,0,control,C
42,1,7.3,0,abacus,B
43,1,5.7,0,abacus,A
44,1,6.1,1,abacus,B
45,0,6.2,0,control,C
46,0,6.2,0,control,C
47,0,5.8,1,control,C
48,1,7.1,0,abacus,A
49,1,6.4,0,abacus,A
50,1,6.1,0,abacus,B
51,1,5.6,0,abacus,B
52,1,5.9,1,abacus,
53,1,6.2,0,abacus,A
54,0,6.4,0,control,C
55,,,,control,
56,1,7.2,0,abacus,A
57,,,,control,
58,0,6.3,1,control,B
59,0,7.9,0,control,C
60,1,6.6,0,abacus,B
61,1,7.4,0,abacus,A
62,1,5.8,0,abacus,A
63,1,6.3,1,abacus,A
64,0,6.5,1,control,B
65,1,6.8,1,abacus,A
66,1,6.2,0,abacus,A
67,0,6.3,0,control,C
68,0,6.3,1,control,B
69,0,7.2,0,control,C
70,1,6.7,1,abacus,A
71,1,7.1,1,abacus,A
72,1,7.2,1,abacus,B
73,0,6.2,0,control,C
74,0,6.4,0,control,C
75,1,7.5,1,abacus,A
76,0,6.8,1,control,B
77,1,6.6,0,abacus,A
78,1,6.5,0,abacus,A
79,0,6.4,1,control,C
80,0,7.1,0,control,C
81,1,6.7,1,abacus,B
82,1,6.5,0,abacus,A
83,0,6.8,0,control,C
84,1,6.5,0,abacus,B
85,1,6.6,0,abacus,B
86,0,6.6,0,control,C
87,0,7,1,control,C
88,0,6.6,1,control,C
89,0,7.4,0,control,C
90,0,6.8,0,control,C
91,1,6.2,1,abacus,A
92,1,6.1,0,abacus,A
93,0,7,1,control,B
94,0,6.8,0,control,B
95,0,7,0,control,C
96,0,7.3,1,control,C
97,1,7.4,0,abacus,A
98,0,6.1,1,control,B
99,1,6.8,0,abacus,B
100,0,6.8,0,control,C
101,0,5.9,1,control,C
102,1,7,0,abacus,A
103,0,6.7,0,control,C
104,1,6.8,0,abacus,A
105,1,6.8,1,abacus,A
106,0,6.8,0,control,C
107,1,6.4,1,abacus,A
108,1,6.8,1,abacus,A
109,1,6.1,0,abacus,B
110,1,6.8,0,abacus,A
111,0,6.2,0,control,C
112,0,6.7,0,control,C
113,,,,control,
114,0,6.6,0,control,C
115,0,6.5,1,control,B
116,1,6.9,1,abacus,A
117,1,6.4,0,abacus,A
118,,,,control,
119,0,6.8,1,control,C
120,,,,control,C
121,0,5.7,0,control,B
122,0,6.7,0,control,C
123,0,6.6,0,control,C
124,0,6.9,0,control,C
125,0,6.5,0,control,C
126,0,6.8,0,control,C
127,0,6.7,0,control,C
128,1,6.5,0,abacus,A
129,1,5.9,0,abacus,A
130,1,6.2,1,abacus,A
131,0,6.5,1,control,C
132,1,8,0,abacus,B
133,1,7.7,0,abacus,A
134,1,7.1,0,abacus,A
135,0,7,0,control,B
136,1,6.7,0,abacus,A
137,1,7,1,abacus,A
138,1,7.5,0,abacus,A
139,0,6.2,1,control,C
140,1,7.3,0,abacus,A
141,1,7.1,1,abacus,A
142,1,5.7,1,abacus,B
143,1,8.4,0,abacus,C
144,1,5.8,0,abacus,B
145,1,6.8,1,abacus,A
146,0,7.3,0,control,B
147,1,7.1,0,abacus,B
148,1,6.2,0,abacus,
149,0,6.6,1,control,C
150,,,,control,
151,0,6.4,1,control,C
152,0,6.7,0,control,B
153,0,6.1,1,control,B
154,0,7.2,0,control,C
155,1,6.8,1,abacus,A
156,0,8.4,0,control,C
157,0,6.5,0,control,C
158,0,6,0,control,B
159,0,6.4,1,control,B
160,0,6.7,0,control,B
161,1,7.3,0,abacus,A
162,0,7.2,0,control,C
163,0,6.1,1,control,B
164,0,7.1,1,control,B
165,0,6.2,0,control,B
166,,,,control,
167,1,6.4,0,abacus,A
168,,,,control,A
169,0,8.5,1,control,B
170,0,6.1,1,control,B
171,1,6.8,0,abacus,A
172,1,6.5,0,abacus,A
173,1,6.5,0,abacus,A
174,0,7.4,0,control,
175,0,6.5,0,control,B
176,0,6.1,1,control,B
177,0,6.5,0,control,B
178,1,7.5,1,abacus,A
179,1,6.3,1,abacus,A
180,1,6.2,1,abacus,A
