subnum,year,spatialwm
102,adults,6.73
103,adults,5.80
106,adults,4.43
107,adults,7.87
108,adults,4.93
109,adults,7.00
110,adults,6.27
114,adults,7.37
115,adults,7.33
116,adults,6.00
117,adults,4.20
118,adults,5.33
119,adults,5.63
120,adults,6.37
121,adults,8.70
122,adults,6.50
123,adults,6.30
124,adults,8.67
125,adults,4.90
126,adults,7.43
1701,highSES,5.07
1704,highSES,3.13
1705,highSES,4.20
1706,highSES,4.67
1709,highSES,5.53
1710,highSES,3.93
1711,highSES,3.87
1712,highSES,4.67
1714,highSES,4.47
1715,highSES,4.47
1801,highSES,4.67
1802,highSES,5.53
1803,highSES,5.33
1804,highSES,4.40
1805,highSES,6.87
1807,highSES,3.13
1808,highSES,4.73
1809,highSES,4.00
1810,highSES,4.87
1811,highSES,4.40
1812,highSES,5.87
1813,highSES,4.53
1814,highSES,4.53
1815,highSES,5.73
1816,highSES,3.80
1817,highSES,4.80
1818,highSES,6.13
1819,highSES,5.47
1820,highSES,5.60
1822,highSES,5.20
1823,highSES,4.60
1902,highSES,5.93
1903,highSES,5.87
1905,highSES,4.40
1906,highSES,5.87
1907,highSES,4.13
1908,highSES,4.40
1909,highSES,4.73
1912,highSES,5.13
1918,highSES,5.73
1919,highSES,4.20
1920,highSES,2.67
1921,highSES,4.27
1922,highSES,5.07
1923,highSES,5.60
1924,highSES,3.87
1925,highSES,4.53
1926,highSES,5.00
1927,highSES,3.60
1928,highSES,3.73
1929,highSES,5.07
1930,highSES,5.47
1932,highSES,5.00
1933,highSES,4.73
1934,highSES,4.00
1935,highSES,5.53
2002,highSES,4.73
2003,highSES,4.47
2004,highSES,4.53
2006,highSES,3.27
2007,highSES,5.00
2009,highSES,6.47
2014,highSES,3.73
2019,highSES,4.40
2020,highSES,5.47
2021,highSES,4.93
2022,highSES,5.47
2023,highSES,4.27
2024,highSES,5.33
2025,highSES,2.27
2026,highSES,3.53
2027,highSES,3.13
2028,highSES,3.67
2029,highSES,3.73
2030,highSES,5.00
2031,highSES,3.13
2032,highSES,5.20
2033,highSES,6.33
