subnum,no.int.addends,motor.int.addends,spatial.wm.avg,verbal.wm.avg,imagery.acc.diff,imagery.rt.diff,gender,level.numeric,age.months,location,city
1801,4.56,6.06,4.1,7.9,0,-0.1,1,4,11.65,GIDC,Ankleshwar
1802,3.94,2.75,5.5,10.5,0,0.23,0,4,12.20,GIDC,Ankleshwar
1803,4,4.81,5.5,11,-0.12,1.07,1,2,8.84,GIDC,Ankleshwar
1804,2.69,3,4.2,11.4,0.12,-0.07,1,3,10.90,GIDC,Ankleshwar
1805,5.12,7.06,7.4,3,0.06,0.38,1,4,12.00,Panchbatti,Bharuch
1807,3.56,3.75,3,12,-0.06,0.03,0,2,10.01,Panchbatti,Bharuch
1808,8.12,6.31,4.5,,0.19,-0.51,0,3,8.52,Panchbatti,Bharuch
1809,4.69,3.81,3.9,10.1,-0.06,-0.08,1,4,10.65,Zadeshwar,Bharuch
1810,8.75,6.69,4.6,10,0.25,-0.15,1,4,10.79,Zadeshwar,Bharuch
1811,5.88,4.12,4.4,9.3,-0.06,0.23,1,4,13.23,Zadeshwar,Bharuch
1812,6.06,5.38,6.1,13.1,0.31,-0.37,0,6,12.78,Zadeshwar,Bharuch
1813,4.75,2.25,4.7,9.5,-0.12,1.22,0,3,9.93,Zadeshwar,Bharuch
1814,5.94,4.31,4.6,11,0.12,-0.27,0,3,10.55,Zadeshwar,Bharuch
1815,7.5,7,6.2,13.1,-0.06,0.15,1,3,10.51,Zadeshwar,Bharuch
1816,3.19,7.5,3.5,,0,-0.15,1,4,9.07,Gotri,Vadodara
1817,6,4.69,4.8,13.2,0,0.94,0,4,11.70,Gotri,Vadodara
1818,9.38,6.06,6.1,10.1,0,-0.22,1,4,11.78,Gotri,Vadodara
1819,5.31,4.81,5.6,12.8,0.12,-0.3,1,4,11.76,Gotri,Vadodara
1820,7.69,5,5.6,9.8,-0.19,0.87,1,4,10.73,Gotri,Vadodara
1822,9.88,9.75,5,9.4,0,0.38,0,4,9.02,Gotri,Vadodara
,,,4.6,11.6,,,1,4,10.38,Gotri,Vadodara
1902,8.56,9.25,6.1,13.6,-0.19,-0.15,0,3,10.86,AnandV.V. Nagar Road,Anand
1903,9.62,7,6.2,8.1,0.06,-0.47,1,3,12.21,AnandV.V. Nagar Road,Anand
1905,7.69,9,4.8,7.4,-0.38,-0.02,1,2,9.63,Nana Kumbh Nath Road,Nadiad
1906,7.88,8.81,6,9.6,0.06,-0.29,1,2,13.73,Nana Kumbh Nath Road,Nadiad
1907,6.38,4.25,4,12.2,-0.06,-0.37,0,2,8.57,Nana Kumbh Nath Road,Nadiad
1908,5.56,6.25,4.3,8.7,-0.06,-0.67,1,3,9.61,Nana Kumbh Nath Road,Nadiad
1909,8.94,9.25,5,5.1,0.06,-0.8,0,2,11.11,Maninagar,Ahmedabad
1912,7.25,6.94,5.3,8.4,-0.06,0.15,1,4,10.04,Kaliabid,Bhavnagar
1918,9.25,8.94,6.2,10.6,0.06,-0.54,0,,13.06,Maninagar,Ahmedabad
1919,3.19,2.56,4.5,10.3,0,-0.61,1,,11.68,Nana Kumbh Nath Road,Nadiad
1920,5.06,3.56,3.2,10.3,0.19,-0.63,1,3,8.22,Gotri,Vadodara
1921,9.56,8.62,4,13.6,0.12,-0.45,1,3,9.89,Gotri,Vadodara
1922,6.44,6.69,4.9,7.9,-0.06,0.52,1,3,8.95,Gotri,Vadodara
1923,4.19,4.38,5.2,9.1,0.12,0.27,1,2,8.81,Gotri,Vadodara
1924,3.75,2.44,4.4,3.4,0.19,-0.6,1,1,7.72,Gotri,Vadodara
1925,4.88,6.69,5.4,12.5,0.06,-0.34,0,2,8.58,Vasna,Vadodara
1926,6,8.44,5.4,8,0.19,-1.04,0,2,7.76,Vasna,Vadodara
1927,2.88,2.38,3.6,10.9,0.19,-1.05,1,2,9.01,Vasna,Vadodara
1928,8,9.25,3.4,11,0.12,0.02,1,2,8.64,Vasna,Vadodara
1929,6.25,3.75,5,11.6,-0.12,0.19,1,2,10.01,Vasna,Vadodara
1930,4.69,4.38,5.6,9.3,0,0.26,1,4,8.95,Gotri,Vadodara
1932,4.81,3.5,5.6,10.2,0.12,0.19,0,4,11.17,Gotri,Vadodara
1933,3.12,3.06,4.8,13.4,0.06,-0.08,1,4,8.68,Fatehgunj,Vadodara
1934,4.25,4.56,4.5,11.8,-0.06,1.22,1,4,11.55,Fatehgunj,Vadodara
1935,9.88,10,5.5,9,-0.19,-0.37,1,4,11.18,Gotri,Vadodara
2002,9.69,9.44,4.9,8.2,0,0,1,4,10.73,Manjalpur,Vadodara
2003,9.62,9.62,4.5,13.9,0.12,-0.2,0,4,12.84,Manjalpur,Vadodara
2004,9.38,9.88,4.5,11.9,0.06,-0.41,1,3,9.81,Karelibaug,Vadodara
2006,8.38,6.56,2.9,8,-0.31,0.03,0,2,4.28,Ranip,Ahmedabad
2007,6.88,8.19,4.8,8.3,-0.06,0.49,1,2,,Ranip,Ahmedabad
2009,9.81,10,6.5,8.8,-0.06,-0.03,1,2,11.65,Vijay Cross Road,Ahmedabad
2014,6.81,4.25,3.7,10.9,0.06,-0.41,0,2,9.55,Panigate,Vadodara
2019,8.75,8.19,4.8,12,-0.06,-0.49,1,2,14.02,GIDC,Vapi
2020,8.06,8,5.2,9.3,0,-0.11,0,2,6.25,GIDC,Vapi
2021,2.75,2.56,5.2,12.4,NaN,NaN,1,1,4.18,GIDC,Vapi
2022,8.12,3.38,5.3,11.7,-0.12,0.23,1,2,7.01,Manadev Nagar,Bilimora
2023,3.25,3.5,4.2,6.1,0,0.16,0,2,6.87,Manadev Nagar,Bilimora
2024,2.94,3.81,5.1,12.3,0,-0.78,1,3,9.90,Vijalpur Road,Navsari
2025,3.75,3.38,2.6,2.3,0,-0.93,0,1,3.82,Vijalpur Road,Navsari
2026,3.88,4,3.7,12.1,-0.12,0.39,0,3,7.86,College Road,Petlad
2027,7,7.06,3.4,7.5,-0.12,1.17,1,3,5.78,College Road,Petlad
2028,8.88,7.88,3.6,11.4,-0.06,-1.07,0,3,11.81,College Road,Petlad
2029,3.5,2.62,3.6,11.2,0.06,-0.38,0,3,4.33,College Road,Petlad
2030,6.88,6.44,4.8,9,0,0.63,1,3,7.28,College Road,Petlad
2031,5.12,3.31,3.3,6.6,0,-0.43,0,2,2.99,Manjalpur,Vadodara
2032,5.62,2.12,5.2,9.9,-0.06,1.28,0,2,7.42,Manjalpur,Vadodara
2033,4.06,2.69,6.3,9.3,0,0.01,0,2,9.65,Manjalpur,Vadodara
