"subnum","year","placeval","ravens","wiat","woodcock","arith","mental.rot.letters.prop","mental.rot.letters.sum","commute.prop","commute.sum","mental.rot.shapes.prop","mental.rot.shapes.sum","wholegroupsums","abacus","age","female","condition","verbalwm","spatialwm","ans","english","math","science","computer","music","art","phys.ed","attendance"
115,3,0.8,0.666666667,0.46875,0.488372093,0.4375,0.791666667,28,0.75,6,0.5625,6,0.471428571,0,6.5,1,"control",3.08,3.67,0.13,79,84,58,80,65,92,81,238
116,0,0.363636364,0.416666667,0.15625,0.186046512,0.083333333,0.5625,8,0.583333333,2,0.520833333,2,NA,1,6.9,1,"abacus",2.54,3,0.12,74,89,77,68,89,90,80,247
116,1,0,0.583333333,0.375,0.395348837,0.291666667,0.854166667,34,0.583333333,2,0.604166667,10,NA,1,6.9,1,"abacus",3.92,5,0.16,91,91,94,76,78,92,87,235
116,2,0.181818182,0.583333333,0.375,0.441860465,0.4375,0.770833333,26,0.416666667,-1,0.75,24,0.428571429,1,6.9,1,"abacus",4.67,5.17,0.17,80,74,78,78,80,88,78,237
116,3,0.7,0.333333333,0.53125,0.581395349,0.5625,0.9375,42,0.5,1,0.625,12,0.742857143,1,6.9,1,"abacus",3.5,4.33,0.11,72,77,53,72,83,92,81,229
117,0,0.363636364,0.416666667,0.09375,0.162790698,0.208333333,0.854166667,37,0.5,0,0.625,12,NA,1,6.4,0,"abacus",4.25,3.46,0.5,59,85,63,64,91,90,80,240
117,1,0,0.833333333,0.25,0.372093023,0.208333333,1,48,0.583333333,2,0.666666667,16,NA,1,6.4,0,"abacus",3.38,4.88,0.18,75,83,79,35,75,80,87,220
117,2,0.363636364,0.666666667,0.4375,0.372093023,0.375,0.958333333,44,0.5,0,0.833333333,32,0.335714286,1,6.4,0,"abacus",3.62,4.21,0.2,64,69,70,70,70,81,84,222
117,3,1,0.708333333,0.5,0.418604651,0.395833333,0.9375,42,0.5,0,0.916666667,40,0.535714286,1,6.4,0,"abacus",5.17,5,0.2,66,72,50,64,71,86,81,214
118,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,0,0.545454545,0.5,0.125,0.162790698,0.125,0.583333333,12,0.166666667,1,0.4375,4,NA,0,6.8,1,"control",2.29,2.04,0.28,80,98,84,80,90,88,75,240
119,1,0,0.833333333,0.28125,0.302325581,0.145833333,0.770833333,27,0.333333333,2,0.5625,7,NA,0,6.8,1,"control",3.29,4,0.2,78,83,87,53,81,84,87,219
119,2,0.545454545,0.666666667,0.34375,0.372093023,0.1875,0.8125,31,0.5,0,0.583333333,8,0.385714286,0,6.8,1,"control",2.92,4,0.13,72,77,67,63,82,79,87,223
119,3,0.6,0.833333333,0.53125,0.488372093,0.3125,0.770833333,29,0.5,0,0.583333333,10,0.435714286,0,6.8,1,"control",3.33,2.25,0.2,85,80,68,74,76,88,84,221
12,0,0.181818182,0.666666667,0.09375,0.255813953,0.145833333,0.708333333,33,0.5,0,0.5625,19,NA,0,6.5,0,"control",2.12,1.79,0.23,95,98,100,94,92,88,80,225
12,1,0.545454545,0.916666667,0.15625,0.302325581,0.1875,0.666666667,32,0.333333333,4,0.604166667,28,NA,0,6.5,0,"control",3.38,3,0.19,96,96,99,90,84,94,88,230
12,2,1,0.833333333,0.28125,0.441860465,0.291666667,0.958333333,44,0.583333333,3,0.770833333,29,0.4,0,6.5,0,"control",4.33,3.54,0.12,90,91,96,79,78,79,72,235
12,3,1,0.708333333,0.53125,0.558139535,0.5625,0.979166667,46,0.5,0,0.895833333,39,0.528571429,0,6.5,0,"control",4.96,5.79,0.09,93,87,90,84,77,88,81,232
120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,31,67,36,48,87,90,85,241
120,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0,0.272727273,0.666666667,NA,0.302325581,0.1875,0.791666667,35,0.166666667,2,0.583333333,24,NA,0,5.7,0,"control",2.71,2.46,0.5,91,96,96,76,87,84,80,240
121,1,0.272727273,0.833333333,0.34375,0.348837209,0.1875,0.6875,19,0.166666667,0,0.895833333,39,NA,0,5.7,0,"control",3.62,3.75,NA,90,92,94,70,82,86,86,232
121,2,0.545454545,0.916666667,0.3125,0.372093023,0.1875,0.895833333,40,0.583333333,2,0.791666667,36,0.242857143,0,5.7,0,"control",3.62,4.25,0.13,87,81,88,70,79,73,81,229
121,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.7,0,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,0,0.181818182,0.333333333,0.09375,0.302325581,0.125,0.479166667,22,0.416666667,1,0.395833333,16,NA,0,6.7,0,"control",2.29,1.88,0.46,82,94,92,84,89,82,81,243
122,1,0.090909091,0.083333333,0.25,0.302325581,0.208333333,0.645833333,14,0.666666667,4,0.583333333,8,NA,0,6.7,0,"control",2.33,2.75,0.08,79,70,90,54,81,84,87,230
122,2,0.181818182,0.125,0.28125,0.348837209,0.041666667,0.75,24,0.666666667,4,0.604166667,10,0.378571429,0,6.7,0,"control",3.5,3.42,0.12,51,56,66,78,79,79,89,233
122,3,0.3,0.125,0.4375,0.418604651,0.395833333,0.791666667,28,0.5,0,0.729166667,22,0.414285714,0,6.7,0,"control",4.96,3.58,0.08,62,54,50,62,57,72,82,226
123,0,0.090909091,0.583333333,0.09375,0.302325581,0.083333333,0.5625,21,0.5,0,0.645833333,14,NA,0,6.6,0,"control",3.75,3.58,0.57,68,90,77,80,90,82,86,247
123,1,0,0.666666667,0.21875,0.372093023,0.125,0.875,41,0.583333333,2,0.645833333,16,NA,0,6.6,0,"control",3.12,4.83,0.13,85,88,92,75,83,82,86,229
123,2,0.363636364,0.791666667,0.34375,0.279069767,0.25,0.958333333,44,0.5,0,0.583333333,8,0.335714286,0,6.6,0,"control",2.96,3.5,0.11,61,65,58,76,68,80,89,223
123,3,0.7,0.666666667,0.53125,0.441860465,0.4375,1,48,0.416666667,-2,0.645833333,15,0.392857143,0,6.6,0,"control",3.83,4.79,0.1,48,57,33,72,58,86,84,218
124,0,0.090909091,0.333333333,0.15625,0.23255814,0.125,0.8125,30,0.5,0,0.5625,23,NA,0,6.9,0,"control",2.08,1.62,0.4,72,76,87,84,86,88,79,234
124,1,0.545454545,0.166666667,0.28125,0.395348837,0.166666667,0.9375,44,0.833333333,8,0.625,13,NA,0,6.9,0,"control",2.88,1.96,0.26,75,88,87,66,78,88,89,227
124,2,0,0.541666667,0.46875,0.441860465,0.291666667,0.9375,42,0.5,0,0.666666667,18,0.442857143,0,6.9,0,"control",2.54,1.62,0.19,75,73,65,69,73,77,88,230
124,3,0.9,0.833333333,0.46875,0.465116279,0.395833333,0.9375,43,1,12,0.625,12,0.535714286,0,6.9,0,"control",4.5,2.88,0.29,81,76,61,74,65,92,86,226
125,0,0.454545455,0.583333333,0.1875,0.302325581,0.0625,0.8125,34,0.083333333,1,0.833333333,32,NA,0,6.5,0,"control",NA,NA,NA,72,95,81,64,85,86,85,241
125,1,0,0.833333333,0.25,0.325581395,0.104166667,0.5625,20,0.583333333,2,0.75,30,NA,0,6.5,0,"control",2.29,1.62,0.21,89,89,98,66,76,84,85,233
125,2,0.363636364,0.708333333,0.375,0.418604651,0.25,0.916666667,40,0.5,0,0.9375,42,0.4,0,6.5,0,"control",3.25,1.29,0.13,73,76,83,59,73,75,85,229
125,3,0.7,0.833333333,0.53125,0.488372093,0.520833333,0.916666667,40,0.5,0,0.9375,42,0.485714286,0,6.5,0,"control",3.67,5.71,0.15,81,78,78,68,63,90,80,237
126,0,0.181818182,0.25,0.0625,0.209302326,0.1875,0.479166667,-2,NA,NA,0.5,6,NA,0,6.8,0,"control",2.21,2.29,0.54,86,94,91,86,90,84,84,249
126,1,0,0.5,0.28125,0.372093023,0.104166667,0.6875,31,0.5,0,0.520833333,15,NA,0,6.8,0,"control",2.33,2.88,1,81,80,96,64,74,80,87,222
126,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.8,0,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.8,0,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0,0.363636364,0.666666667,NA,0.255813953,0.145833333,0.479166667,1,0.416666667,-2,0.541666667,14,NA,0,6.7,0,"control",3,2.67,0.42,75,89,88,80,88,92,75,249
127,1,0.272727273,0.5,0.15625,0.325581395,0.104166667,0.8125,31,0.583333333,2,0.541666667,5,NA,0,6.7,0,"control",4,2.83,0.2,72,75,80,68,82,86,88,237
127,2,0.909090909,0.625,0.28125,0.348837209,0.104166667,0.8125,32,0.333333333,-4,0.479166667,19,0.185714286,0,6.7,0,"control",4.17,3.79,0.15,48,57,61,63,74,74,87,240
127,3,1,0.708333333,0.5,0.488372093,0.291666667,0.916666667,41,0.416666667,-2,0.75,25,0.25,0,6.7,0,"control",3.04,2.92,0.11,48,62,43,72,60,84,86,225
128,0,0.454545455,0.75,0.125,0.23255814,0.104166667,0.708333333,29,0.416666667,-1,0.5,17,NA,1,6.5,0,"abacus",4.42,2.75,0.23,39,78,49,58,91,86,81,245
128,1,0,0.833333333,0.25,0.348837209,0.145833333,0.895833333,42,0.583333333,2,0.5625,7,NA,1,6.5,0,"abacus",4.5,3.46,0.11,55,76,64,67,78,84,89,229
128,2,1,0.958333333,0.34375,0.395348837,0.375,0.979166667,46,0.5,0,0.708333333,20,0.35,1,6.5,0,"abacus",3.25,3.38,0.09,34,62,39,66,76,72,77,232
128,3,1,0.666666667,0.34375,0.395348837,0.395833333,1,48,0.583333333,2,0.604166667,10,0.314285714,1,6.5,0,"abacus",2.92,4.12,0.13,48,69,35,78,62,86,81,222
129,0,0.363636364,0.666666667,0.15625,0.279069767,0.208333333,0.541666667,9,0.666666667,5,0.5,12,NA,1,5.9,0,"abacus",3,3.58,0.29,84,88,88,84,84,84,74,242
129,1,0.545454545,0.416666667,0.21875,0.302325581,0.145833333,0.604166667,12,0.583333333,2,0.375,1,NA,1,5.9,0,"abacus",4.46,3.75,0.12,91,87,95,87,74,80,87,236
129,2,0.363636364,0.208333333,0.34375,0.372093023,0.291666667,0.833333333,33,0.5,0,0.625,14,0.335714286,1,5.9,0,"abacus",3.08,3.29,0.17,80,84,86,73,75,70,84,237
129,3,1,0.458333333,0.59375,0.534883721,0.5,0.875,37,0.5,0,0.6875,26,0.328571429,1,5.9,0,"abacus",4.04,2.42,0.17,73,74,74,76,68,90,80,232
13,0,0.454545455,0.75,0.21875,0.348837209,0.1875,0.770833333,31,0.583333333,2,0.5625,9,NA,1,6.2,0,"abacus",3.17,3.12,0.11,98,99,100,92,88,86,80,245
13,1,1,0.75,0.5,0.441860465,0.416666667,0.958333333,44,0.5,0,0.604166667,10,NA,1,6.2,0,"abacus",4.67,4.04,0.13,98,100,100,89,80,82,87,237
13,2,1,0.583333333,0.53125,0.511627907,0.520833333,0.979166667,46,0.5,0,0.729166667,22,0.542857143,1,6.2,0,"abacus",4.67,4.21,0.19,95,91,99,74,78,79,76,237
13,3,1,0.708333333,0.6875,0.604651163,0.791666667,1,48,0.5,0,0.708333333,20,0.921428571,1,6.2,0,"abacus",5.42,4.33,0.08,94,98,96,88,85,90,84,224
130,0,0.181818182,0.666666667,0.1875,0.302325581,0.0625,0.625,16,0.25,-4,0.541666667,4,NA,1,6.2,1,"abacus",1.92,3.04,0.35,64,87,82,62,85,88,75,242
130,1,0,0.75,0.3125,0.395348837,0.333333333,0.729166667,22,0.5,0,0.833333333,33,NA,1,6.2,1,"abacus",3.12,4.71,0.13,91,94,90,69,79,92,87,236
130,2,0.909090909,0.625,0.4375,0.488372093,0.416666667,0.854166667,34,0.5,0,0.875,36,0.3,1,6.2,1,"abacus",4.96,4.62,0.1,66,81,72,76,76,84,80,239
130,3,1,0.791666667,0.46875,0.558139535,0.458333333,0.895833333,38,0.583333333,2,0.75,24,0.285714286,1,6.2,1,"abacus",4.38,5.46,0.12,77,86,70,68,87,86,81,232
131,0,0.454545455,0.5,0.0625,0.162790698,0.0625,0.583333333,8,0.083333333,1,0.520833333,2,NA,0,6.5,1,"control",1.12,1.79,0.64,61,89,83,62,91,84,75,245
