"subnum","year","placeval","ravens","wiat","woodcock","arith","mental.rot.letters.prop","mental.rot.letters.sum","commute.prop","commute.sum","mental.rot.shapes.prop","mental.rot.shapes.sum","wholegroupsums","abacus","age","female","condition","verbalwm","spatialwm","ans","english","math","science","computer","music","art","phys.ed","attendance"
1,0,0.181818182,0,NA,0.302325581,0.208333333,0.583333333,10,0.5,0,0.5625,6,NA,1,6.4,0,"abacus",1.92,3.67,0.54,95,97,99,88,84,86,79,250
1,1,0.545454545,0.416666667,0.375,0.395348837,0.354166667,0.916666667,40,0.416666667,-2,0.541666667,5,NA,1,6.4,0,"abacus",4.21,3.71,0.13,98,98,99,87,74,86,87,233
1,2,0.909090909,0.5,0.4375,0.441860465,0.541666667,0.895833333,38,0.5,0,0.6875,22,0.614285714,1,6.4,0,"abacus",3.88,4.79,0.17,94,95,94,78,70,78,93,237
1,3,1,0.375,0.5625,0.604651163,0.791666667,0.9375,42,0.583333333,2,0.3125,15,0.7,1,6.4,0,"abacus",3.79,3.67,0.13,92,91,92,76,56,84,81,238
10,0,0.272727273,0,NA,0.209302326,0.145833333,0.3125,5,NA,NA,0.395833333,7,NA,0,6.4,0,"control",2.12,1.46,0.59,85,89,94,82,90,88,75,238
10,1,0.090909091,0.666666667,0.3125,0.325581395,0.125,0.645833333,16,0.583333333,2,0.604166667,10,NA,0,6.4,0,"control",4.21,1.33,0.15,87,78,92,61,78,86,87,228
10,2,0.363636364,0.416666667,0.28125,0.395348837,0.25,0.791666667,33,0.583333333,2,0.75,26,0.264285714,0,6.4,0,"control",4.67,3.79,0.09,71,67,69,57,73,75,81,228
10,3,1,0.625,0.46875,0.465116279,0.354166667,0.9375,42,0.5,0,0.291666667,14,0.492857143,0,6.4,0,"control",4.25,5.12,0.12,79,62,54,66,63,82,84,217
100,0,0.181818182,0.25,0.1875,0.325581395,0.1875,0.541666667,12,0.416666667,-2,0.625,17,NA,0,6.8,0,"control",3.67,3.67,0.1,76,89,81,88,88,88,80,249
100,1,0.363636364,0.583333333,0.375,0.441860465,0.208333333,0.9375,42,0.583333333,2,0.854166667,34,NA,0,6.8,0,"control",4.25,2.96,0.1,93,97,99,70,79,86,84,240
100,2,0.636363636,0.375,0.46875,0.465116279,0.4375,0.833333333,32,0.5,0,0.645833333,14,0.428571429,0,6.8,0,"control",2.88,4.25,0.06,92,87,95,81,75,84,85,236
100,3,1,0.791666667,0.65625,0.581395349,0.520833333,0.979166667,46,0.5,0,0.854166667,34,0.485714286,0,6.8,0,"control",4.46,4.38,0.08,91,94,87,80,76,86,83,226
101,0,0.181818182,0.083333333,0.0625,0.279069767,0.104166667,0.375,-12,0.416666667,-2,0.458333333,0,NA,0,5.9,1,"control",1.79,2.88,1,50,66,70,66,89,86,76,238
101,1,0,0.416666667,0.125,0.186046512,0.104166667,0.520833333,6,0.5,0,0.583333333,10,NA,0,5.9,1,"control",4,3.17,0.97,67,62,77,68,80,86,87,225
101,2,0.272727273,0.25,0.25,0.279069767,0.270833333,0.604166667,11,0.5,1,0.604166667,12,0.121428571,0,5.9,1,"control",3.17,2.58,0.15,60,55,63,69,74,77,85,230
101,3,0.6,0.166666667,0.28125,0.418604651,0.25,0.666666667,16,0.666666667,4,0.458333333,-4,0.271428571,0,5.9,1,"control",3.12,4.83,0.17,60,56,48,64,58,86,84,228
102,0,0.454545455,0.666666667,0.125,0.279069767,0.208333333,0.916666667,40,0.333333333,-3,0.5625,20,NA,1,7,0,"abacus",3.71,3.71,0.38,92,96,96,40,88,86,85,240
102,1,0.181818182,0.75,0.25,0.348837209,0.25,0.895833333,40,0.583333333,2,0.583333333,21,NA,1,7,0,"abacus",4,3.79,0.42,92,86,97,72,80,86,88,227
102,2,0.636363636,0.583333333,0.34375,0.395348837,0.395833333,0.916666667,40,0.5,0,0.791666667,28,0.478571429,1,7,0,"abacus",2.92,5.58,0.15,88,74,90,72,71,78,85,226
102,3,0.6,0.5,0.46875,0.511627907,0.395833333,1,48,0.5,0,0.8125,30,0.564285714,1,7,0,"abacus",4.67,5.25,0.14,82,77,89,82,68,80,82,228
103,0,0,0.25,0.03125,0.139534884,0.083333333,0.270833333,3,NA,NA,0.458333333,15,NA,0,6.7,0,"control",1.58,4,0.36,55,79,58,68,91,86,80,225
103,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.7,0,"control",NA,NA,NA,43,56,52,49,82,86,88,197
103,2,0.181818182,0.166666667,0.1875,0.372093023,0.0625,0.604166667,10,0.25,3,0.541666667,18,0.114285714,0,6.7,0,"control",3.96,4.71,0.13,33,27,36,42,81,77,82,220
103,3,0.1,0.5,0.3125,0.348837209,0.333333333,0.875,36,0.5,0,0.729166667,22,0.421428571,0,6.7,0,"control",4.33,4.58,0.15,42,51,29,64,64,88,81,203
104,0,0.272727273,0.5,0.09375,0.23255814,0.125,0.229166667,8,0.25,1,0.25,5,NA,1,6.8,0,"abacus",2.79,1.96,0.54,74,81,82,74,88,84,75,251
104,1,0,0.583333333,0.15625,0.23255814,0.145833333,0.770833333,26,0,0,0.645833333,19,NA,1,6.8,0,"abacus",3.17,3.67,0.1,61,71,69,73,79,86,89,236
104,2,0.636363636,0.541666667,0.34375,0.372093023,0.270833333,0.770833333,26,0.25,1,0.458333333,15,0.335714286,1,6.8,0,"abacus",4.25,4.38,0.27,54,43,59,68,75,69,83,236
104,3,0.7,0.541666667,0.375,0.372093023,0.354166667,0.666666667,18,0.5,0,0.458333333,4,0.428571429,1,6.8,0,"abacus",3.96,4.12,0.21,65,54,50,64,63,78,83,232
105,0,0.181818182,0.583333333,0,0.046511628,0.083333333,0.479166667,20,0.5,2,0.3125,11,NA,1,6.8,1,"abacus",2.5,1.88,0.61,54,74,71,66,87,84,76,250
105,1,0,0.5,0.21875,0.279069767,0.0625,0.583333333,8,0.5,1,0.625,13,NA,1,6.8,1,"abacus",4.04,2.83,0.15,52,69,60,57,77,86,86,236
105,2,0,0.416666667,0.21875,0.255813953,0.208333333,0.666666667,16,0.25,-6,0.416666667,14,0.107142857,1,6.8,1,"abacus",3.08,2.62,0.21,34,37,36,62,74,73,75,236
105,3,0,0.25,0.28125,0.372093023,0.208333333,0.583333333,8,0.583333333,5,0.645833333,14,0.121428571,1,6.8,1,"abacus",3.54,2.21,0.15,41,46,37,62,67,82,80,232
106,0,0.272727273,0.75,0.09375,0.302325581,0.166666667,0.458333333,-4,0.333333333,0,0.416666667,-6,NA,0,6.8,0,"control",3.12,2.83,0.14,61,79,77,84,86,82,75,217
106,1,0.090909091,0.583333333,0.25,0.23255814,0.125,0.875,36,0.583333333,2,0.5,0,NA,0,6.8,0,"control",2.96,3,NA,54,58,60,57,80,88,86,217
106,2,0.727272727,NA,0.40625,0.348837209,0.291666667,0.9375,42,0.416666667,-2,0.666666667,16,0.135714286,0,6.8,0,"control",5.04,3.75,0.13,63,64,64,61,69,82,89,213
106,3,1,0.375,0.4375,0.511627907,0.375,0.75,28,0.5,0,0.354166667,-14,0.414285714,0,6.8,0,"control",3.88,5.96,0.08,64,60,34,68,68,82,83,182
107,0,0.272727273,0.666666667,0.03125,0.162790698,0.145833333,0.583333333,14,0.583333333,4,0.291666667,6,NA,1,6.4,1,"abacus",3.38,2.21,0.42,76,85,84,76,88,84,80,236
107,1,0.181818182,0.5,0.21875,0.325581395,0.229166667,0.6875,22,0.333333333,4,0.770833333,28,NA,1,6.4,1,"abacus",3.46,3.17,0.1,84,88,87,73,84,88,89,235
107,2,0.727272727,0.458333333,0.28125,0.418604651,0.291666667,0.833333333,33,0.5,0,0.520833333,22,0.235714286,1,6.4,1,"abacus",4.29,3.42,0.16,79,69,82,78,79,79,82,240
107,3,1,0.791666667,0.40625,0.465116279,0.416666667,0.9375,43,0.5,0,0.6875,19,0.471428571,1,6.4,1,"abacus",3.12,3.75,0.2,88,75,77,70,71,90,85,236
108,0,0.090909091,0.5,0.0625,0.069767442,0.229166667,0.791666667,30,0.666666667,4,0.5,0,NA,1,6.8,1,"abacus",2.33,2.46,0.42,91,92,94,78,91,92,80,246
108,1,0.090909091,0.666666667,0.3125,0.348837209,0.25,0.958333333,44,0.583333333,2,0.645833333,14,NA,1,6.8,1,"abacus",3.88,3.67,0.16,90,90,98,74,78,88,86,232
108,2,0,0.416666667,0.3125,0.348837209,0.375,0.729166667,22,0.416666667,-2,0.625,13,0.228571429,1,6.8,1,"abacus",3.62,4.88,0.13,67,77,73,62,75,79,74,226
108,3,0.3,0.583333333,0.4375,0.441860465,0.541666667,0.854166667,34,0.5,0,0.625,12,0.685714286,1,6.8,1,"abacus",4.17,5,0.16,84,76,74,64,87,88,81,225
109,0,0.636363636,0.333333333,0.15625,0.255813953,0.166666667,0.75,30,0.5,0,0.625,12,NA,1,6.1,0,"abacus",3.04,4.33,0.38,70,89,84,80,92,86,84,241
109,1,0.909090909,0.5,0.375,0.372093023,0.291666667,0.875,38,0.583333333,2,0.625,12,NA,1,6.1,0,"abacus",3.33,3.33,0.12,86,79,89,63,87,84,87,217
109,2,1,0.5,0.375,0.465116279,0.354166667,0.9375,42,0.5,0,0.541666667,4,0.271428571,1,6.1,0,"abacus",4.08,4.79,0.15,78,78,75,75,69,79,83,222
109,3,1,0.625,0.375,0.465116279,0.416666667,0.854166667,39,0.5,0,0.520833333,4,0.135714286,1,6.1,0,"abacus",4.75,4.75,0.08,78,78,55,62,67,86,79,236
11,0,0.272727273,0.25,0.125,0.186046512,0.083333333,0.458333333,17,0.416666667,-1,0.479166667,9,NA,0,6.2,0,"control",2.58,3.67,0.43,71,80,76,72,91,84,79,247
11,1,0.090909091,0.333333333,0.09375,0.23255814,0.104166667,0.520833333,18,0.166666667,-1,0.4375,14,NA,0,6.2,0,"control",3.92,3.46,0.15,66,64,81,66,80,86,85,220
11,2,0.454545455,0.541666667,0.28125,0.372093023,0,0.75,24,0.5,0,0.645833333,15,0.342857143,0,6.2,0,"control",4.54,4.08,0.17,67,55,58,64,77,76,79,224
11,3,0.5,0.625,0.3125,0.418604651,0.291666667,0.958333333,45,0.75,6,0.520833333,2,0.428571429,0,6.2,0,"control",3.5,3.29,0.09,67,58,59,64,77,80,83,227
110,0,0.363636364,0.666666667,0.25,0.302325581,0.291666667,0.520833333,17,0.75,6,0.5,4,NA,1,6.8,0,"abacus",3.58,4.33,0.26,89,95,94,88,89,88,80,236
110,1,0.454545455,0.75,0.28125,0.348837209,0.375,0.708333333,20,0.5,2,0.791666667,28,NA,1,6.8,0,"abacus",3.21,4.17,0.15,87,92,96,83,79,82,87,238
110,2,0.636363636,0.458333333,0.46875,0.372093023,0.541666667,0.6875,19,0.5,0,0.625,15,0.7,1,6.8,0,"abacus",3.92,3.12,0.1,71,84,72,75,72,70,84,243
110,3,0.5,0.25,0.5625,0.465116279,0.75,0.791666667,28,0.75,6,0.729166667,22,0.785714286,1,6.8,0,"abacus",4.25,3.92,0.08,62,82,50,78,62,86,82,234
111,0,0.272727273,0.75,0.125,0.255813953,0.104166667,0.4375,11,0.5,3,0.541666667,19,NA,0,6.2,0,"control",1.21,2.79,0.48,93,95,100,94,89,86,75,247
111,1,0.636363636,0.666666667,0.28125,0.372093023,0.208333333,0.604166667,23,0.583333333,2,0.708333333,21,NA,0,6.2,0,"control",3.04,4.25,0.19,91,92,93,93,78,86,88,234
111,2,0.909090909,0.916666667,0.3125,0.372093023,0.229166667,0.875,36,0.5,0,0.75,24,0.364285714,0,6.2,0,"control",4.21,3.96,0.2,80,82,89,85,78,77,87,224
111,3,1,0.791666667,0.53125,0.441860465,0.208333333,0.854166667,36,0.583333333,2,0.645833333,14,0.342857143,0,6.2,0,"control",3.17,3.46,0.17,76,79,78,76,63,88,85,231
112,0,0.181818182,0.75,0.03125,0.255813953,0.125,0.8125,39,0.5,0,0.3125,11,NA,0,6.7,0,"control",3.46,5.21,0.6,45,73,49,54,86,84,79,241
112,1,0.181818182,0.666666667,0.21875,0.325581395,0.145833333,0.770833333,26,0.583333333,2,0.75,26,NA,0,6.7,0,"control",3.46,1.96,0.41,52,70,55,60,76,86,87,233
112,2,0.363636364,0.541666667,0.4375,0.418604651,0.3125,0.9375,42,0.416666667,-1,0.770833333,28,0.285714286,0,6.7,0,"control",2.38,3.96,0.2,69,67,71,73,72,81,80,239
112,3,0.9,0.5,0.5625,0.488372093,0.395833333,0.979166667,46,0.583333333,2,0.6875,19,0.442857143,0,6.7,0,"control",2.54,4.08,0.27,63,73,56,66,62,82,83,224
113,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0,0.181818182,0.166666667,0.09375,0.255813953,0.145833333,0.604166667,29,0.5,0,0.458333333,19,NA,0,6.6,0,"control",3.21,2.62,0.41,81,88,88,80,90,86,84,233
114,1,0.818181818,0.916666667,0.28125,0.372093023,0.125,0.9375,42,0.583333333,7,0.625,18,NA,0,6.6,0,"control",4.17,3.83,0.14,89,84,91,56,82,86,85,222
114,2,1,0.708333333,0.25,0.372093023,0.270833333,0.958333333,45,0.5,0,0.791666667,32,0.271428571,0,6.6,0,"control",6,4.29,0.13,85,74,88,68,72,80,87,230
114,3,1,0.583333333,0.59375,0.465116279,0.375,1,48,0.5,0,0.770833333,33,0.392857143,0,6.6,0,"control",3.83,3.29,0.25,90,91,85,72,74,90,83,220
115,0,0.363636364,0.666666667,0.125,0.279069767,0.125,0.541666667,8,0.5,0,0.604166667,16,NA,0,6.5,1,"control",3.12,3.21,0.32,89,96,96,82,84,90,76,243
115,1,0.727272727,0.083333333,0.28125,0.348837209,0.1875,0.5625,6,0.416666667,-2,0.520833333,2,NA,0,6.5,1,"control",4.08,3.25,0.18,94,92,96,81,83,90,84,235
115,2,0.454545455,0.541666667,0.34375,0.395348837,0.354166667,0.5,NA,0.5,0,0.5,13,0.4,0,6.5,1,"control",5.17,4.25,0.2,83,80,82,78,79,81,78,241
