subnum,year,abacus.sums,abacus.arith,abacus.flashcards
1,2011,0.292857143,0.541666667,0.869565217
2,2011,0.135714286,0.1875,0.869565217
3,2011,,,
4,2011,,,
5,2011,,,
6,2011,,,
7,2011,,,
8,2011,,,
9,2011,,,
10,2011,,,
11,2011,,,
12,2011,,,
13,2011,0.264285714,0.541666667,0.913043478
14,2011,,,
15,2011,,,
16,2011,0.114285714,0.270833333,0.652173913
17,2011,,,
18,2011,,,
19,2011,,,
20,2011,0.142857143,0.208333333,0.782608696
21,2011,0.264285714,0.3125,0.913043478
22,2011,,,
23,2011,0.1,0.1875,0.869565217
24,2011,0.2,0.25,0.913043478
25,2011,0.178571429,0.291666667,0.956521739
26,2011,,,
27,2011,,,
28,2011,0.114285714,0.0625,0.739130435
29,2011,,,
30,2011,,,
31,2011,0.171428571,0.1875,0.826086957
32,2011,0.114285714,0.145833333,0.869565217
33,2011,0.15,0.291666667,0.869565217
34,2011,,,
35,2011,0.221428571,0.479166667,0.956521739
36,2011,0.128571429,0.166666667,0.782608696
37,2011,,,
38,2011,0.157142857,0.25,0.869565217
39,2011,0.128571429,0.333333333,0.913043478
40,2011,,,
41,2011,,,
42,2011,0.164285714,0.166666667,0.956521739
43,2011,0.164285714,0.291666667,0.913043478
44,2011,0.114285714,0.104166667,0.913043478
45,2011,,,
46,2011,,,
47,2011,,,
48,2011,0.114285714,0.125,0.913043478
49,2011,0.114285714,0.166666667,0.869565217
50,2011,0.157142857,0.395833333,0.869565217
51,2011,0.085714286,0.125,0.739130435
52,2011,0.114285714,0.25,0.913043478
53,2011,0.121428571,0.1875,0.782608696
54,2011,,,
55,2011,,,
56,2011,0.085714286,0.0625,0.782608696
57,2011,,,
58,2011,,,
59,2011,,,
60,2011,0.15,0.229166667,0.782608696
61,2011,0.142857143,0.208333333,0.869565217
62,2011,0.1,0.229166667,0.913043478
63,2011,0.2,0.375,1
64,2011,,,
65,2011,0.192857143,0.270833333,0.826086957
66,2011,0.178571429,0.354166667,0.869565217
67,2011,,,
68,2011,,,
69,2011,,,
70,2011,0.107142857,0.145833333,0.782608696
71,2011,0.15,0.291666667,0.913043478
72,2011,0.214285714,0.5,0.826086957
73,2011,,,
74,2011,,,
75,2011,0.2,0.3125,0.869565217
76,2011,,,
77,2011,0.1,0.125,0.47826087
78,2011,0.257142857,0.520833333,0.869565217
79,2011,,,
80,2011,,,
81,2011,0.107142857,0.125,0.956521739
82,2011,0.185714286,0.25,0.913043478
83,2011,,,
84,2011,0.128571429,0.270833333,0.782608696
85,2011,0.114285714,0.0625,0.608695652
86,2011,,,
87,2011,,,
88,2011,,,
89,2011,,,
90,2011,,,
91,2011,0.121428571,0.145833333,0.913043478
92,2011,0.164285714,0.229166667,0.826086957
93,2011,,,
94,2011,,,
95,2011,,,
96,2011,,,
97,2011,0.121428571,0.229166667,0.695652174
98,2011,,,
99,2011,0.121428571,0.3125,1
100,2011,,,
101,2011,,,
102,2011,0.092857143,0.083333333,0.739130435
103,2011,,,
104,2011,0.135714286,0.208333333,0.869565217
105,2011,0.157142857,0.1875,0.695652174
106,2011,,,
107,2011,0.171428571,0.229166667,0.869565217
108,2011,0.135714286,0.333333333,0.913043478
109,2011,0.185714286,0.3125,0.652173913
110,2011,0.328571429,0.458333333,0.782608696
111,2011,,,
112,2011,,,
113,2011,,,
114,2011,,,
115,2011,,,
116,2011,0.157142857,0.1875,0.869565217
117,2011,0.178571429,0.3125,0.913043478
118,2011,,,
119,2011,,,
120,2011,,,
121,2011,,,
122,2011,,,
123,2011,,,
124,2011,,,
125,2011,,,
126,2011,,,
127,2011,,,
128,2011,0.15,0.3125,1
129,2011,0.135714286,0.3125,0.869565217
130,2011,0.164285714,0.333333333,1
131,2011,,,
132,2011,0,0.0625,0.130434783
133,2011,0.142857143,0.104166667,0.869565217
134,2011,0.135714286,0.270833333,0.869565217
135,2011,,,
136,2011,0.107142857,0.125,0.869565217
137,2011,0.15,0.125,0.956521739
138,2011,0.085714286,0.145833333,0.695652174
139,2011,,,
140,2011,0.114285714,0.145833333,0.695652174
141,2011,0.192857143,0.229166667,0.826086957
142,2011,0.085714286,0.041666667,0.47826087
143,2011,,,
144,2011,0.192857143,0.270833333,0.869565217
145,2011,0.192857143,0.1875,0.739130435
146,2011,,,
147,2011,0.057142857,0.083333333,0.52173913
148,2011,0.135714286,0.166666667,1
149,2011,,,
150,2011,,,
151,2011,,,
152,2011,,,
153,2011,,,
154,2011,,,
155,2011,0.378571429,0.583333333,0.956521739
156,2011,,,
157,2011,,,
158,2011,,,
159,2011,,,
160,2011,,,
161,2011,0.1,0.1875,1
162,2011,,,
163,2011,,,
164,2011,,,
165,2011,,,
166,2011,,,
167,2011,0.107142857,0.166666667,0.913043478
168,2011,,,
169,2011,,,
170,2011,,,
171,2011,0.128571429,0.166666667,0.913043478
172,2011,0.135714286,0.270833333,0.956521739
173,2011,0.164285714,0.208333333,0.956521739
174,2011,,,
175,2011,,,
176,2011,,,
177,2011,,,
178,2011,0.171428571,0.3125,0.869565217
179,2011,0.171428571,0.354166667,0.826086957
180,2011,0.221428571,0.3125,0.956521739
181,2011,0.135714286,0.229166667,0.826086957
182,2011,,,
183,2011,0.178571429,0.208333333,0.913043478
184,2011,0.092857143,0.145833333,0.608695652
185,2011,0.178571429,0.229166667,0.956521739
186,2011,,,
187,2011,0.064285714,0.104166667,0.826086957
188,2011,,,
189,2011,,,
190,2011,0.157142857,0.229166667,1
191,2011,,,
192,2011,,,
193,2011,0.107142857,0.104166667,0.913043478
194,2011,0.114285714,0.125,0.869565217
195,2011,0.185714286,0.333333333,0.913043478
196,2011,,,
197,2011,0.092857143,0.083333333,0.52173913
198,2011,,,
199,2011,,,
200,2011,0.071428571,0.041666667,0.869565217
201,2011,,,
202,2011,0.142857143,0.208333333,0.869565217
203,2011,0.1,0.0625,0.869565217
204,2011,0.15,0.208333333,1
205,2011,0.164285714,0.25,0.869565217
206,2011,0.1,0.145833333,0.695652174
207,2011,0.235714286,0.395833333,0.869565217
208,2011,,,
209,2011,0.15,0.354166667,0.913043478
210,2011,,,
211,2011,,,
212,2011,,,
213,2011,,,
214,2011,,,
215,2011,,,
218,,,,
