subnum,abacus,pg1_1,pg1_2,pg1_3,pg1_4,pg1_5,pg1_6,pg1_7,pg1_8,pg1_9,pg1_10,pg1_11,pg1_12,pg1_13,pg1_14,pg1_15,pg1_16,pg2_1,pg2_2,pg2_3,pg2_4,pg2_5,pg2_6,pg2_7,pg2_8,pg2_9,pg2_10,pg2_11,pg2_12,pg2_13,pg2_14,pg2_15,pg2_16,pg3_1,pg3_2,pg3_3,pg3_4,pg3_5,pg3_6,pg3_7,pg3_8,pg3_9,pg3_10,pg3_11,pg3_12,pg3_13,pg3_14,pg3_15,pg3_16
1,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,18,121,142,430,944,1444,1332,9372,18930,84,153,327,148,406,778,6268,6370,170,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,8,9,15,17,42,87,50,511,7,4,7,8,45,23,42,43,10,54,48,65,140,156,178,199,121,142,145,1123,223,224,225,220,,,,,,,,,110,200,245,230,232,248,496,500
5,0,8,9,15,17,42,87,60,73,7,4,8,8,50,23,51,56,10,48,63,4,2,8,9,8,121,142,189,168,199,1007,167,167,120,182,198,1007,180,,,,,,,,,,,
6,0,8,9,15,17,34,43,48,49,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,8,9,15,18,42,87,66,73,7,3,9,8,50,23,51,56,10,18,63,11,2,9,8,121,121,142,,,,,,,,,,,,,,,,,,,,,,
8,0,8,9,15,17,42,87,60,63,7,10,9,8,45,23,46,26,26,63,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,16,10,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,8,9,15,17,42,97,60,73,7,4,9,8,45,23,54,34,10,42,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,47,26,10,48,63,52,3,7,21,31,121,142,430,944,1449,1332,,,,,,,,,,,,,,,,,,
13,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,22,18,121,142,430,944,1449,1332,9372,18930,84,153,327,148,406,778,,,,,,,,,,
14,0,8,9,15,17,42,97,50,73,8,4,9,8,45,23,46,26,10,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,8,9,15,17,42,87,60,73,7,4,9,8,45,23,48,26,10,48,63,52,3,7,22,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,8,9,15,16,43,87,60,73,7,4,9,72,45,23,47,27,10,,63,52,27,,143,107,136,142,430,549,1448,1222,9682,18910,84,158,,,,,,,,,,,,,,
17,0,8,9,15,17,42,87,60,74,7,4,9,8,45,23,56,26,10,48,63,52,3,7,22,18,121,,,,,,,,,,,,,,,,,,,,,,,
18,0,8,9,15,17,42,87,60,73,7,4,9,8,45,17,46,26,10,48,63,52,3,7,44,18,121,142,430,944,1449,1332,,,,,,,,,,,,,,,,,,
19,0,8,9,15,17,42,87,60,73,7,4,10,8,45,23,54,26,10,48,63,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,27,10,48,63,52,3,7,22,18,121,142,430,,,,,,,,,,,,,,,,,,,,,
21,1,8,9,15,17,42,87,60,73,7,4,9,8,45,23,46,26,10,48,63,52,3,7,44,18,121,142,430,944,1497,1332,9372,18930,84,153,327,148,410,778,1858,,,,,,,,,
