problem,answer
pg1_1,8
pg1_2,9
pg1_3,15
pg1_4,17
pg1_5,42
pg1_6,87
pg1_7,60
pg1_8,73
pg1_9,7
pg1_10,4
pg1_11,9
pg1_12,8
pg1_13,45
pg1_14,23
pg1_15,46
pg1_16,26
pg2_1,10
pg2_2,48
pg2_3,63
pg2_4,52
pg2_5,3
pg2_6,7
pg2_7,22
pg2_8,18
pg2_9,121
pg2_10,142
pg2_11,430
pg2_12,944
pg2_13,1449
pg2_14,1332
pg2_15,9372
pg2_16,18930
pg3_1,84
pg3_2,153
pg3_3,327
pg3_4,148
pg3_5,406
pg3_6,778
pg3_7,2658
pg3_8,6370
pg3_9,180
pg3_10,143
pg3_11,468
pg3_12,1825
pg3_13,80
pg3_14,39.33333333
pg3_15,38
pg3_16,22
