subnum,year,placeval,ravens,wiat,woodcock,arith,commute.prop,commute.sum,mental.rot.shapes.sum,mental.rot.shapes.prop,mental.rot.letters.prop,mental.rot.letters.sum
1,2011,0.545454545,0.416666667,0.375,0.395348837,0.354166667,0.416666667,-2,5,0.541666667,0.916666667,40
2,2011,0,0.833333333,0.3125,0.302325581,0.208333333,0.583333333,2,28,0.791666667,0.958333333,45
3,2011,0,0.583333333,0.1875,0.186046512,0,0.5,0,-7,0.395833333,0.604166667,10
4,2011,0.272727273,0.916666667,0.21875,0.279069767,0.125,0.583333333,2,8,0.583333333,0.791666667,29
5,2011,0.454545455,0.333333333,0.15625,0.255813953,0.083333333,0.5,0,13,0.604166667,0.833333333,39
6,2011,0,0.5,0.0625,0.162790698,0.0625,0.166666667,2,15,0.5625,0.541666667,17
7,2011,0.090909091,0.333333333,0.09375,0.279069767,0.020833333,0.583333333,2,-1,0.479166667,0.5625,7
8,2011,0.090909091,0.166666667,0.09375,0.255813953,0,0.5,0,22,0.604166667,0.520833333,4
9,2011,0,0.5,0.1875,0.279069767,0.125,0.583333333,2,12,0.416666667,0.625,12
10,2011,0.090909091,0.666666667,0.3125,0.325581395,0.125,0.583333333,2,10,0.604166667,0.645833333,16
11,2011,0.090909091,0.333333333,0.09375,0.23255814,0.104166667,0.166666667,-1,14,0.4375,0.520833333,18
12,2011,0.545454545,0.916666667,0.15625,0.302325581,0.1875,0.333333333,4,28,0.604166667,0.666666667,32
13,2011,1,0.75,0.5,0.441860465,0.416666667,0.5,0,10,0.604166667,0.958333333,44
14,2011,0.090909091,0.75,0.1875,0.302325581,0.229166667,0.25,3,24,0.666666667,0.75,34
15,2011,0.909090909,0.583333333,0.21875,0.279069767,0.1875,0.583333333,3,2,0.520833333,0.770833333,26
16,2011,0,1,0.21875,0.372093023,0.208333333,0.5,0,19,0.6875,0.8125,37
17,2011,0.090909091,0.666666667,0.15625,0.279069767,0.145833333,0.666666667,4,23,0.729166667,0.729166667,34
18,2011,0.545454545,0.916666667,0.3125,0.418604651,0.291666667,0.416666667,-2,19,0.6875,0.645833333,30
19,2011,0,0.916666667,0.15625,0.302325581,0.104166667,0.583333333,3,14,0.5,0.8125,38
20,2011,0.181818182,0.916666667,0.1875,0.372093023,0.1875,0.583333333,2,7,0.541666667,0.875,37
21,2011,0.454545455,0.583333333,0.375,0.325581395,0.354166667,0.5,4,2,0.5,0.645833333,22
22,2011,0.181818182,0.5,0.1875,0.348837209,0.229166667,0.583333333,2,14,0.645833333,0.541666667,6
23,2011,0,0.25,0.1875,0.255813953,0.166666667,0.416666667,-2,6,0.5625,0.5625,7
24,2011,0.363636364,0.583333333,0.21875,0.325581395,0.229166667,0.583333333,2,20,0.708333333,0.791666667,28
25,2011,0.181818182,0.583333333,0.25,0.302325581,0.104166667,0.583333333,2,8,0.583333333,0.8125,30
26,2011,0.909090909,0.916666667,0.40625,0.372093023,0.4375,0.583333333,2,23,0.708333333,0.916666667,40
27,2011,0,0.083333333,0.15625,0.255813953,0.083333333,0.333333333,-4,-1,0.479166667,0.520833333,6
28,2011,0,0.166666667,0.1875,0.302325581,0.083333333,0.5,0,-6,0.416666667,0.875,40
29,2011,0,0.166666667,0.25,0.302325581,0.166666667,0.666666667,4,2,0.520833333,0.625,14
30,2011,0.181818182,0.833333333,0.21875,0.302325581,0.270833333,0.5,0,24,0.583333333,0.875,38
31,2011,0.090909091,0.583333333,0.25,0.302325581,0.166666667,0.25,-6,16,0.666666667,0.604166667,10
32,2011,0,0,0.125,0.255813953,0.166666667,0.416666667,-2,16,0.666666667,0.666666667,16
33,2011,0.454545455,0.5,0.28125,0.348837209,0.083333333,0.583333333,2,20,0.708333333,0.5,0
34,2011,0.454545455,0.666666667,0.15625,0.302325581,0.145833333,0.5,0,32,0.8125,0.75,24
35,2011,0.636363636,0.5,0.3125,0.395348837,0.354166667,0.583333333,2,0,0.5,0.666666667,16
36,2011,0.272727273,0.916666667,0.21875,0.325581395,0.166666667,0.5,0,-1,0.458333333,0.6875,25
37,2011,0.272727273,0.583333333,0.28125,0.325581395,0.25,0.583333333,5,4,0.541666667,0.625,12
38,2011,0,0.25,0.15625,0.279069767,0.270833333,0.583333333,2,14,0.645833333,0.75,26
39,2011,0.272727273,0.833333333,0.1875,0.372093023,0.208333333,0.583333333,2,8,0.583333333,0.833333333,34
40,2011,0.090909091,0.75,0.34375,0.325581395,0.229166667,0.583333333,2,12,0.625,0.854166667,34
41,2011,0,0,0.25,0.325581395,0.0625,0.5,0,12,0.604166667,0.770833333,28
42,2011,0,1,0.21875,0.325581395,0.208333333,0.5,0,4,0.541666667,0.8125,32
43,2011,0.545454545,0,0.15625,0.302325581,0.270833333,0.5,1,25,0.75,0.708333333,22
44,2011,0.363636364,0.166666667,0.21875,0.279069767,0.208333333,0.5,0,10,0.604166667,0.458333333,-2
45,2011,0,0.666666667,0.21875,0.255813953,0.104166667,0.583333333,3,10,0.604166667,0.854166667,34
46,2011,0.090909091,0.416666667,0.1875,0.279069767,0.104166667,0.583333333,3,8,0.583333333,0.895833333,39
47,2011,0.363636364,0.583333333,0.28125,0.325581395,0.166666667,0.5,0,8,0.583333333,0.875,40
48,2011,0.636363636,0.5,0.28125,0.302325581,0.1875,0.416666667,4,23,0.729166667,0.625,15
49,2011,0.272727273,0.333333333,0.1875,0.325581395,0.145833333,0.083333333,-3,-2,0.25,0.6875,32
50,2011,0.363636364,0.75,0.34375,0.348837209,0.25,0.583333333,2,-4,0.458333333,0.895833333,38
51,2011,0,0.166666667,0.09375,0.302325581,0.208333333,0.5,0,14,0.645833333,0.625,12
52,2011,0.454545455,0.916666667,0.25,0.325581395,0.145833333,0.5,0,8,0.541666667,0.9375,43
53,2011,0.363636364,0.583333333,0.21875,0.302325581,0.125,0.333333333,-4,9,0.395833333,0.5625,23
54,2011,0.727272727,0.833333333,0.3125,0.395348837,0.1875,0.583333333,2,14,0.645833333,0.875,36
55,2011,,,,,,,,,,,
56,2011,0,0.25,0.15625,0.279069767,0.125,0.666666667,4,10,0.541666667,0.5,3
57,2011,,,,,,,,,,,
58,2011,0.909090909,0.833333333,0.34375,0.372093023,0.145833333,0.5,1,24,0.75,0.666666667,17
59,2011,0.090909091,0.5,0.09375,0.209302326,0.041666667,0.25,1,9,0.354166667,0.354166667,10
60,2011,0.272727273,0.666666667,0.1875,0.279069767,0.104166667,0.5,0,4,0.541666667,0.5625,6
61,2011,0.181818182,0.166666667,0.15625,0.302325581,0.125,0.5,0,17,0.666666667,0.625,23
62,2011,0.090909091,0.416666667,0.1875,0.302325581,0.104166667,0.666666667,6,9,0.583333333,0.666666667,23
63,2011,0.909090909,0.666666667,0.34375,0.372093023,0.25,0.5,0,12,0.625,0.645833333,17
