subnum,year,placeval,ravens,wiat,woodcock,arith,commute.prop,commute.sum,mental.rot.shapes.sum,mental.rot.shapes.prop,mental.rot.letters.prop,mental.rot.letters.sum
64,2011,0.090909091,0.583333333,0.15625,0.279069767,0.166666667,0.416666667,-2,12,0.625,0.645833333,14
65,2011,0.090909091,0.416666667,0.125,0.302325581,0.229166667,0.75,6,18,0.6875,0.833333333,32
66,2011,0,0.583333333,0.25,0.348837209,0.25,0.583333333,2,20,0.5625,0.770833333,26
67,2011,0,0.083333333,0.125,0.279069767,0,0.5,0,8,0.583333333,0.541666667,7
68,2011,0,0.833333333,0.25,0.395348837,0.208333333,0.583333333,2,12,0.625,0.854166667,34
69,2011,0.090909091,0.666666667,0.28125,0.418604651,0.125,0.5,0,27,0.770833333,0.770833333,27
70,2011,0,0.583333333,0.1875,0.302325581,0.083333333,0.833333333,8,5,0.541666667,0.895833333,38
71,2011,0.090909091,0.666666667,0.25,0.302325581,0.208333333,0.416666667,-1,28,0.791666667,0.875,37
72,2011,0.272727273,0.75,0.3125,0.348837209,0.229166667,0.5,0,18,0.6875,0.625,12
73,2011,0.181818182,0.416666667,0.15625,0.325581395,0.104166667,0.416666667,-2,17,0.583333333,0.854166667,34
74,2011,0.545454545,0.583333333,0.21875,0.348837209,0.145833333,0.5,1,15,0.645833333,0.4375,-3
75,2011,0.818181818,1,0.3125,0.348837209,0.208333333,0.916666667,11,11,0.604166667,0.645833333,16
76,2011,0.454545455,0.666666667,0.28125,0.325581395,0.25,0.583333333,4,21,0.708333333,0.6875,18
77,2011,0,0.583333333,0.125,0.348837209,0.104166667,0.583333333,2,21,0.708333333,0.520833333,2
78,2011,0.363636364,0.666666667,0.375,0.441860465,0.25,0.5,0,16,0.666666667,0.875,36
79,2011,0.909090909,0.5,0.34375,0.395348837,0.104166667,0.583333333,2,28,0.791666667,0.916666667,41
80,2011,0,0.333333333,0.15625,0.255813953,0.083333333,0.5,0,14,0.625,0.625,12
81,2011,0.454545455,0.416666667,0.1875,0.302325581,0.208333333,0.333333333,-4,0,0.479166667,0.5625,6
82,2011,0,0.583333333,0.1875,0.23255814,0.145833333,0.25,-6,34,0.833333333,0.729166667,22
83,2011,0,0.25,0.09375,0.209302326,0.083333333,0.583333333,2,23,0.729166667,0.458333333,-3
84,2011,0,0.166666667,0.15625,0.325581395,0.208333333,0.583333333,2,16,0.666666667,0.645833333,14
85,2011,0.090909091,0.416666667,0.15625,0.325581395,0.125,0.25,1,2,0.520833333,0.645833333,14
86,2011,0.090909091,0.5,0.28125,0.325581395,0.125,0.416666667,-2,14,0.645833333,0.666666667,16
87,2011,0.363636364,0.666666667,0.25,0.302325581,0.104166667,0.583333333,2,21,0.666666667,0.645833333,14
88,2011,0,0.583333333,0.3125,0.325581395,0.145833333,0.25,-4,14,0.645833333,0.75,24
89,2011,0.818181818,0.916666667,0.34375,0.395348837,0.125,0.583333333,2,26,0.770833333,0.8125,30
90,2011,0.090909091,0.75,0.21875,0.325581395,0.0625,0.5,0,6,0.5625,0.583333333,13
91,2011,0.090909091,0.833333333,0.3125,0.348837209,0.229166667,0.5,0,21,0.708333333,0.708333333,20
92,2011,0.363636364,0.75,0.21875,0.325581395,0.083333333,0.666666667,4,31,0.770833333,0.875,38
93,2011,0.727272727,0.5,0.21875,0.348837209,0.208333333,0.166666667,2,18,0.6875,0.729166667,22
94,2011,0,0,0.1875,0.279069767,0.125,0.333333333,-1,22,0.729166667,0.4375,-6
95,2011,0,0.166666667,0.09375,0.186046512,0.083333333,0.583333333,2,10,0.604166667,0.395833333,-10
96,2011,0.909090909,0.666666667,0.25,0.395348837,0.125,0.583333333,2,-1,0.479166667,0.5625,13
97,2011,0.363636364,0.75,0.3125,0.372093023,0.270833333,0.583333333,2,16,0.666666667,0.625,16
98,2011,0.363636364,0.75,0.375,0.325581395,0.125,0.583333333,2,24,0.75,0.8125,30
99,2011,1,0.666666667,0.34375,0.372093023,0.208333333,0.666666667,4,9,0.583333333,0.645833333,14
100,2011,0.363636364,0.583333333,0.375,0.441860465,0.208333333,0.583333333,2,34,0.854166667,0.9375,42
101,2011,0,0.416666667,0.125,0.186046512,0.104166667,0.5,0,10,0.583333333,0.520833333,6
102,2011,0.181818182,0.75,0.25,0.348837209,0.25,0.583333333,2,21,0.583333333,0.895833333,40
103,2011,,,,,,,,,,,
104,2011,0,0.583333333,0.15625,0.23255814,0.145833333,0,0,19,0.645833333,0.770833333,26
105,2011,0,0.5,0.21875,0.279069767,0.0625,0.5,1,13,0.625,0.583333333,8
106,2011,0.090909091,0.583333333,0.25,0.23255814,0.125,0.583333333,2,0,0.5,0.875,36
107,2011,0.181818182,0.5,0.21875,0.325581395,0.229166667,0.333333333,4,28,0.770833333,0.6875,22
108,2011,0.090909091,0.666666667,0.3125,0.348837209,0.25,0.583333333,2,14,0.645833333,0.958333333,44
109,2011,0.909090909,0.5,0.375,0.372093023,0.291666667,0.583333333,2,12,0.625,0.875,38
110,2011,0.454545455,0.75,0.28125,0.348837209,0.375,0.5,2,28,0.791666667,0.708333333,20
111,2011,0.636363636,0.666666667,0.28125,0.372093023,0.208333333,0.583333333,2,21,0.708333333,0.604166667,23
112,2011,0.181818182,0.666666667,0.21875,0.325581395,0.145833333,0.583333333,2,26,0.75,0.770833333,26
113,2011,,,,,,,,,,,
114,2011,0.818181818,0.916666667,0.28125,0.372093023,0.125,0.583333333,7,18,0.625,0.9375,42
115,2011,0.727272727,0.083333333,0.28125,0.348837209,0.1875,0.416666667,-2,2,0.520833333,0.5625,6
116,2011,0,0.583333333,0.375,0.395348837,0.291666667,0.583333333,2,10,0.604166667,0.854166667,34
117,2011,0,0.833333333,0.25,0.372093023,0.208333333,0.583333333,2,16,0.666666667,1,48
118,2011,,,,,,,,,,,
119,2011,0,0.833333333,0.28125,0.302325581,0.145833333,0.333333333,2,7,0.5625,0.770833333,27
120,2011,,,,,,,,,,,
121,2011,0.272727273,0.833333333,0.34375,0.348837209,0.1875,0.166666667,0,39,0.895833333,0.6875,19
122,2011,0.090909091,0.083333333,0.25,0.302325581,0.208333333,0.666666667,4,8,0.583333333,0.645833333,14
123,2011,0,0.666666667,0.21875,0.372093023,0.125,0.583333333,2,16,0.645833333,0.875,41
124,2011,0.545454545,0.166666667,0.28125,0.395348837,0.166666667,0.833333333,8,13,0.625,0.9375,44
125,2011,0,0.833333333,0.25,0.325581395,0.104166667,0.583333333,2,30,0.75,0.5625,20
126,2011,0,0.5,0.28125,0.372093023,0.104166667,0.5,0,15,0.520833333,0.6875,31
127,2011,0.272727273,0.5,0.15625,0.325581395,0.104166667,0.583333333,2,5,0.541666667,0.8125,31
128,2011,0,0.833333333,0.25,0.348837209,0.145833333,0.583333333,2,7,0.5625,0.895833333,42
129,2011,0.545454545,0.416666667,0.21875,0.302325581,0.145833333,0.583333333,2,1,0.375,0.604166667,12
130,2011,0,0.75,0.3125,0.395348837,0.333333333,0.5,0,33,0.833333333,0.729166667,22
131,2011,0.090909091,0.583333333,0.21875,0.279069767,0.229166667,0.5,0,15,0.645833333,0.5,1
132,2011,0.090909091,0.166666667,0,0.11627907,0,0.083333333,-10,8,0.583333333,0.645833333,14
133,2011,0.090909091,0.75,0.25,0.348837209,0.125,0.5,0,22,0.708333333,0.520833333,3
134,2011,1,0.583333333,0.34375,0.325581395,0.1875,0.5,0,19,0.6875,0.645833333,14
135,2011,0.454545455,0.5,0.25,0.325581395,0.229166667,1,12,8,0.5625,0.5625,8
136,2011,0.363636364,0.5,0.21875,0.279069767,0.1875,0.333333333,2,0,0.5,0.791666667,28
137,2011,0.090909091,0.083333333,0.1875,0.325581395,0.104166667,0.583333333,2,21,0.708333333,0.75,24
138,2011,0,0.416666667,0.1875,0.302325581,0.083333333,0.333333333,2,13,0.583333333,0.9375,42
139,2011,0,0.416666667,0.03125,0.11627907,0.041666667,0.583333333,2,-6,0.416666667,0.4375,4
140,2011,0,0.333333333,0.21875,0.255813953,0.0625,0.5,0,14,0.604166667,0.75,24
141,2011,0.454545455,0.5,0.21875,0.372093023,0.270833333,0.583333333,2,10,0.604166667,0.708333333,21
142,2011,0,0.083333333,0.09375,0.23255814,0.041666667,0.083333333,-3,4,0.541666667,0.583333333,8
143,2011,0.363636364,0.5,0.125,0.302325581,0.166666667,0.416666667,-2,12,0.604166667,0.666666667,17
144,2011,0.818181818,0.666666667,0.25,0.325581395,0.208333333,0.666666667,4,12,0.625,0.729166667,22
145,2011,0.090909091,0.916666667,0.125,0.255813953,0.0625,0.5,1,18,0.6875,0.75,24
146,2011,0.545454545,0.666666667,0.28125,0.302325581,0.208333333,0.583333333,2,7,0.520833333,0.8125,31
147,2011,0,0.583333333,0.1875,0.348837209,0.083333333,0.583333333,3,-5,0.4375,0.625,13
148,2011,0,0.666666667,0.15625,0.325581395,0.145833333,0.583333333,2,18,0.645833333,0.625,16
149,2011,0.363636364,0.583333333,0.25,0.348837209,0.145833333,0.5,3,12,0.625,0.75,24
150,2011,,,,,,,,,,,
151,2011,0.363636364,0.583333333,0.28125,0.348837209,0.229166667,0.583333333,2,23,0.604166667,0.541666667,5
152,2011,0.272727273,0.75,0.25,0.23255814,0.166666667,0.75,6,25,0.75,0.9375,42
153,2011,0,0.583333333,0.15625,0.23255814,0.145833333,0.5,1,12,0.625,0.520833333,3
154,2011,0.363636364,0.666666667,0.28125,0.279069767,0.145833333,0.583333333,2,22,0.729166667,0.729166667,22
155,2011,0.545454545,0.416666667,0.46875,0.441860465,0.583333333,0.666666667,4,32,0.833333333,0.5625,6
156,2011,0,0.416666667,0.125,0.23255814,0.104166667,0.416666667,-2,19,0.666666667,0.541666667,4
157,2011,0.636363636,0.833333333,0.34375,0.348837209,0.104166667,0.583333333,2,31,0.708333333,0.791666667,29
158,2011,0.181818182,0.166666667,0.15625,0.348837209,0.1875,0.583333333,2,21,0.6875,0.625,14
159,2011,0,0.833333333,0.15625,0.302325581,0.1875,0.5,0,-10,0.395833333,0.6875,20
160,2011,1,0.833333333,0.34375,0.418604651,0.270833333,0.583333333,2,18,0.6875,0.958333333,44
161,2011,0.545454545,0.833333333,0.34375,0.395348837,0.125,0.916666667,10,17,0.520833333,0.770833333,31
162,2011,0.090909091,0.5,0.21875,0.302325581,0.1875,0.583333333,2,4,0.541666667,0.479166667,0
163,2011,0.181818182,0.5,0.28125,0.395348837,0.270833333,0.583333333,2,-4,0.458333333,0.666666667,17
164,2011,0.545454545,0.833333333,0.40625,0.418604651,0.270833333,0.583333333,2,14,0.645833333,0.979166667,46
165,2011,1,0.916666667,0.3125,0.372093023,0.145833333,0.666666667,4,26,0.75,0.958333333,44
166,2011,,,,,,,,,,,
167,2011,0.272727273,0.166666667,0.15625,0.302325581,0.125,0.583333333,2,,,,
168,2011,,,,,,,,,,,
169,2011,0.363636364,0.666666667,0.25,0.325581395,0.208333333,0.583333333,2,17,0.666666667,0.6875,19
170,2011,0.454545455,0.25,0.21875,0.209302326,0.0625,0.583333333,2,16,0.666666667,0.604166667,10
171,2011,0.090909091,0.166666667,0.125,0.302325581,0.145833333,0.583333333,2,16,0.645833333,0.729166667,22
172,2011,0.454545455,0.583333333,0.28125,0.325581395,0.25,0.583333333,2,7,0.541666667,0.770833333,26
173,2011,0.181818182,0.833333333,0.28125,0.302325581,0.25,0.583333333,2,5,0.541666667,0.8125,30
174,2011,0.636363636,0.666666667,0.15625,,0.229166667,0.833333333,8,14,0.645833333,0.875,36
175,2011,0.181818182,0.25,0.09375,0.209302326,0.145833333,0.416666667,-2,17,0.645833333,0.645833333,17
176,2011,0.181818182,0.5,0.09375,0.255813953,0.0625,0.583333333,2,8,0.583333333,0.6875,18
177,2011,0.545454545,0.833333333,0.25,0.395348837,0.229166667,0.833333333,8,-6,0.4375,0.833333333,34
178,2011,0.818181818,0.5,0.375,0.372093023,0.270833333,0.583333333,2,8,0.5625,0.625,22
179,2011,0.363636364,0.583333333,0.34375,0.441860465,0.208333333,0.666666667,5,8,0.583333333,0.666666667,17
180,2011,0.454545455,0.833333333,0.3125,0.372093023,0.270833333,0.5,0,23,0.729166667,0.958333333,44
181,2011,0.727272727,0.833333333,0.3125,0.325581395,0.1875,0.5,6,17,0.666666667,0.958333333,45
182,2011,0.090909091,0.583333333,0.21875,0.325581395,0.125,0.166666667,-3,14,0.645833333,0.604166667,11
183,2011,0.181818182,0.166666667,0.34375,0.348837209,0.25,0.25,-6,-4,0.458333333,0.520833333,2
184,2011,0,0.583333333,0.21875,0.255813953,0.166666667,0.25,1,26,0.770833333,0.645833333,24
185,2011,0.181818182,0.75,0.3125,0.418604651,0.270833333,0.25,2,10,0.604166667,0.604166667,10
186,2011,0.090909091,0.666666667,0.21875,0.325581395,0.25,0.666666667,4,9,0.541666667,0.354166667,1
187,2011,0,0.166666667,0.21875,0.348837209,0.229166667,0.5,0,10,0.604166667,0.375,-8
188,2011,0.363636364,0.833333333,0.21875,0.325581395,0.125,0.583333333,2,20,0.6875,0.708333333,20
189,2011,0.727272727,0.666666667,0.21875,0.348837209,0.208333333,0.583333333,2,9,0.5625,0.9375,42
190,2011,0.818181818,0.833333333,0.21875,0.279069767,0.104166667,0.5,0,12,0.625,0.854166667,37
191,2011,0,0.666666667,0.03125,0.093023256,0.020833333,0.5,0,18,0.4375,0.75,33
192,2011,0.090909091,0.583333333,0.09375,0.255813953,0.145833333,0.416666667,-2,2,0.520833333,0.770833333,27
193,2011,0.454545455,0.916666667,0.1875,0.279069767,0.104166667,0.583333333,2,27,0.708333333,0.875,39
194,2011,0,0.166666667,0.15625,0.348837209,0.208333333,0.25,-6,6,0.5625,0.666666667,16
195,2011,0.818181818,0.083333333,0.34375,0.418604651,0.375,0.75,6,4,0.541666667,0.6875,18
196,2011,1,0.666666667,0.1875,0.348837209,0.25,0.583333333,2,2,0.5,0.729166667,22
197,2011,0,0.5,0.1875,0.279069767,0.1875,0.583333333,2,29,0.791666667,0.625,12
198,2011,0.090909091,0.166666667,0.21875,0.325581395,0.125,0.666666667,5,4,0.458333333,0.604166667,23
199,2011,0,0.583333333,0.21875,0.348837209,0.208333333,0.583333333,2,21,0.645833333,0.8125,30
200,2011,0.090909091,0.583333333,0.15625,0.279069767,0.083333333,0.583333333,5,27,0.75,0.6875,19
201,2011,0.272727273,0,0.28125,0.325581395,0.208333333,0.5,1,12,0.625,0.625,16
202,2011,0.181818182,0.666666667,0.1875,0.372093023,0.145833333,0.583333333,2,19,0.6875,0.625,12
203,2011,0,0.166666667,0.28125,0.325581395,0.083333333,0.583333333,2,21,0.708333333,0.666666667,17
204,2011,0.727272727,0.833333333,0.34375,0.348837209,0.1875,0.666666667,4,12,0.625,0.916666667,40
205,2011,0,0.5,0.3125,0.302325581,0.104166667,0.083333333,-7,7,0.5625,0.8125,30
206,2011,0.090909091,0.5,0.1875,0.348837209,0.145833333,0.583333333,2,-10,0.395833333,0.5,0
207,2011,0.818181818,0.75,0.375,0.348837209,0.458333333,0.75,6,2,0.520833333,0.958333333,44
208,2011,0,0.25,0.1875,0.255813953,0.125,0.5,0,12,0.625,0.791666667,31
209,2011,1,0.416666667,0.28125,0.348837209,0.354166667,0.75,8,16,0.604166667,0.875,37
210,2011,0.636363636,0.75,0.25,0.302325581,0.125,0.333333333,2,19,0.5625,0.895833333,38
211,2011,0.181818182,0.5,0.34375,0.441860465,0.25,0.583333333,2,9,0.583333333,0.5625,7
212,2011,0.181818182,0.166666667,0.3125,0.23255814,0.145833333,0.5,0,12,0.625,0.604166667,10
213,2011,0,0.333333333,0.15625,0.255813953,0.104166667,0.583333333,2,21,0.708333333,0.6875,18
214,2011,,,,,,,,,,,
215,2011,0.090909091,0.583333333,0.125,0.255813953,0.166666667,0.5,0,18,0.6875,0.5625,6
218,,,,,,,,,,,,
