subnum,year,placeval,ravens,wiat,woodcock,arith,mental.rot.letters.prop,mental.rot.letters.sum,commute.prop,commute.sum,mental.rot.shapes.prop,mental.rot.shapes.sum
64,2010,0.272727273,0.666666667,NA,0.255813953,0.291666667,0.4375,7,0.583333333,2,0.604166667,10
65,2010,0.454545455,0.75,0.24,0.23255814,0.145833333,0.666666667,28,0.75,6,0.625,12
66,2010,0.363636364,0.666666667,0.28,0.162790698,0.229166667,0.604166667,22,NA,NA,0.4375,15
67,2010,0.181818182,0.166666667,0.04,0.209302326,0.083333333,0.1875,2,NA,NA,0.625,13
68,2010,0,0.5,0.2,0.209302326,0.125,0.916666667,40,0.416666667,-2,0.604166667,24
69,2010,0.363636364,0.166666667,0.12,,0.125,0.395833333,9,0.416666667,0,0.604166667,18
70,2010,0.090909091,0.5,0.12,0.186046512,0.145833333,0.5,14,0.333333333,-1,0.541666667,14
71,2010,0.454545455,0.5,0.16,0.325581395,0.1875,0.708333333,22,0.583333333,2,0.5,2
72,2010,0.090909091,0.666666667,0.12,0.255813953,0.1875,0.604166667,11,0.75,6,0.645833333,15
73,2010,0.272727273,0.75,0.12,0.162790698,0.083333333,0.645833333,28,0.25,0,0.5625,18
74,2010,0.181818182,0.583333333,0.12,0.255813953,0.104166667,0.479166667,0,0.416666667,4,0.479166667,19
75,2010,0.545454545,0.916666667,0.16,0.302325581,0.25,0.75,28,0.5,0,0.6875,18
76,2010,0.090909091,0.5,0.2,0.302325581,0.1875,0.625,14,0.166666667,-1,0.583333333,14
77,2010,0.181818182,0.5,0.16,0.186046512,0.083333333,0.5,20,0.083333333,-1,0.395833333,3
78,2010,0.090909091,0.75,0.2,0.255813953,0.1875,0.6875,30,NA,NA,0.4375,13
79,2010,0.090909091,0.583333333,0.2,0.302325581,0.166666667,0.25,12,0.416666667,-2,0.4375,17
80,2010,0,0.416666667,0.12,0.162790698,0.0625,0.354166667,6,NA,NA,0.395833333,-6
81,2010,0.272727273,0.583333333,0.08,0.162790698,0.104166667,0.395833333,11,,,0.4375,15
82,2010,0.363636364,0.166666667,0.16,0.186046512,0.1875,0.645833333,28,0.5,0,0.708333333,31
83,2010,0.545454545,0.583333333,0.08,0.186046512,0.083333333,0.333333333,-2,0.25,0,0.4375,-6
84,2010,0.454545455,0,NA,0.162790698,0.125,0.5625,18,0.5,0,0.541666667,18
85,2010,0.454545455,0.666666667,0.12,0.255813953,0.270833333,0.541666667,4,0.5,0,0.541666667,6
86,2010,0,0.666666667,0.24,0.279069767,0.0625,0.395833333,8,0.333333333,-2,0.375,14
87,2010,0.454545455,0.416666667,0.16,0.279069767,0.166666667,0.583333333,18,NA,NA,0.520833333,11
88,2010,0.272727273,0.5,0.08,0.209302326,0.104166667,0.583333333,8,0.333333333,-4,0.645833333,22
89,2010,0.272727273,0.5,0.2,0.255813953,0.25,0.8125,35,NA,NA,0.541666667,15
90,2010,0.272727273,0,0.04,0.162790698,0.083333333,0.583333333,10,0.5,3,0.520833333,2
91,2010,0.272727273,0.833333333,0.12,0.255813953,0.166666667,0.833333333,36,0.583333333,2,0.395833333,8
92,2010,0.363636364,0.833333333,0.24,0.302325581,0.1875,0.645833333,28,0.333333333,1,0.708333333,28
93,2010,0.181818182,0.416666667,NA,0.302325581,0.1875,0.104166667,-1,0.5,0,0.5625,6
94,2010,0.090909091,0.333333333,NA,0.186046512,0.0625,0.270833333,2,0.333333333,-1,0.5625,7
95,2010,0,0.583333333,0.08,0.162790698,0.166666667,0.395833333,-6,0.583333333,2,0.354166667,-14
96,2010,0.181818182,0.416666667,0.2,0.302325581,0.229166667,0.604166667,12,0.416666667,-2,0.5,4
97,2010,0.272727273,0.083333333,0.12,0.186046512,0.166666667,0.541666667,7,0.583333333,2,0.520833333,2
98,2010,0.363636364,0.583333333,0.16,0.209302326,0.25,0.104166667,-6,0.5,0,0.395833333,15
99,2010,0.363636364,0.666666667,0.08,0.302325581,0.208333333,0.5625,12,0.666666667,4,0.625,24
100,2010,0.181818182,0.25,0.24,0.325581395,0.1875,0.541666667,12,0.416666667,-2,0.625,17
101,2010,0.181818182,0.083333333,0.08,0.279069767,0.104166667,0.375,-12,0.416666667,-2,0.458333333,0
102,2010,0.454545455,0.666666667,0.16,0.279069767,0.208333333,0.916666667,40,0.333333333,-3,0.5625,20
103,2010,0,0.25,0.04,0.139534884,0.083333333,0.270833333,3,NA,NA,0.458333333,15
104,2010,0.272727273,0.5,0.12,0.23255814,0.125,0.229166667,8,0.25,1,0.25,5
105,2010,0.181818182,0.583333333,0,0.046511628,0.083333333,0.479166667,20,0.5,2,0.3125,11
106,2010,0.272727273,0.75,0.12,0.302325581,0.166666667,0.458333333,-4,0.333333333,0,0.416666667,-6
107,2010,0.272727273,0.666666667,0.04,0.162790698,0.145833333,0.583333333,14,0.583333333,4,0.291666667,6
108,2010,0.090909091,0.5,0.08,0.069767442,0.229166667,0.791666667,30,0.666666667,4,0.5,0
109,2010,0.636363636,0.333333333,0.2,0.255813953,0.166666667,0.75,30,0.5,0,0.625,12
110,2010,0.363636364,0.666666667,0.32,0.302325581,0.291666667,0.520833333,17,0.75,6,0.5,4
111,2010,0.272727273,0.75,0.16,0.255813953,0.104166667,0.4375,11,0.5,3,0.541666667,19
112,2010,0.181818182,0.75,0.04,0.255813953,0.125,0.8125,39,0.5,0,0.3125,11
113,2010,,,,,,,,,,,
114,2010,0.181818182,0.166666667,0.12,0.255813953,0.145833333,0.604166667,29,0.5,0,0.458333333,19
115,2010,0.363636364,0.666666667,0.16,0.279069767,0.125,0.541666667,8,0.5,0,0.604166667,16
116,2010,0.363636364,0.416666667,0.2,0.186046512,0.083333333,0.5625,8,0.583333333,2,0.520833333,2
117,2010,0.363636364,0.416666667,0.12,0.162790698,0.208333333,0.854166667,37,0.5,0,0.625,12
118,2010,,,,,,,,,,,
119,2010,0.545454545,0.5,0.16,0.162790698,0.125,0.583333333,12,0.166666667,1,0.4375,4
120,2010,,,,,,,,,,,
121,2010,0.272727273,0.666666667,NA,0.302325581,0.1875,0.791666667,35,0.166666667,2,0.583333333,24
122,2010,0.181818182,0.333333333,0.12,0.302325581,0.125,0.479166667,22,0.416666667,1,0.395833333,16
123,2010,0.090909091,0.583333333,0.12,0.302325581,0.083333333,0.5625,21,0.5,0,0.645833333,14
124,2010,0.090909091,0.333333333,0.2,0.23255814,0.125,0.8125,30,0.5,0,0.5625,23
125,2010,0.454545455,0.583333333,0.24,0.302325581,0.0625,0.8125,34,0.083333333,1,0.833333333,32
126,2010,0.181818182,0.25,0.08,0.209302326,0.1875,0.479166667,-2,NA,NA,0.5,6
127,2010,0.363636364,0.666666667,NA,0.255813953,0.145833333,0.479166667,1,0.416666667,-2,0.541666667,14
128,2010,0.454545455,0.75,0.16,0.23255814,0.104166667,0.708333333,29,0.416666667,-1,0.5,17
129,2010,0.363636364,0.666666667,0.2,0.279069767,0.208333333,0.541666667,9,0.666666667,5,0.5,12
130,2010,0.181818182,0.666666667,0.24,0.302325581,0.0625,0.625,16,0.25,-4,0.541666667,4
131,2010,0.454545455,0.5,0.08,0.162790698,0.0625,0.583333333,8,0.083333333,1,0.520833333,2
132,2010,0.454545455,0.666666667,NA,0.186046512,0.0625,0.229166667,2,0.5,2,0.291666667,3
133,2010,0.454545455,0.666666667,0.24,0.255813953,0.145833333,0.625,13,0.666666667,4,0.604166667,10
134,2010,0.272727273,0.583333333,0.2,0.255813953,0.166666667,0.4375,20,0.5,0,0.416666667,20
135,2010,0.363636364,0.583333333,0.16,0.302325581,0.166666667,0.458333333,17,0.333333333,0,0.375,13
136,2010,0.181818182,0.583333333,0.12,0.209302326,0.104166667,0.479166667,4,0.083333333,-2,0.541666667,6
137,2010,0.272727273,0.583333333,0.2,0.209302326,0.083333333,0.625,25,0.416666667,-1,0.354166667,2
138,2010,0.454545455,0.25,0.2,0.162790698,0.125,0.9375,44,0.666666667,6,0.75,27
139,2010,0.272727273,0.416666667,0.04,0.186046512,0.0625,0.541666667,9,0,0,0.416666667,-6
140,2010,0.181818182,0.5,0,0.139534884,0.0625,0.645833333,17,0.5,0,0.5,2
141,2010,0.272727273,0.666666667,0.2,0.279069767,0.208333333,0.604166667,11,0.583333333,2,0.375,-12
142,2010,0.181818182,0.583333333,0.12,0.139534884,0.0625,0.583333333,13,0.5,2,0.5,0
143,2010,0.363636364,0.25,0.04,0.186046512,0.041666667,0.4375,16,0.666666667,4,0.479166667,9
144,2010,0.363636364,,0.12,0.186046512,0.041666667,,,0.5,1,,
145,2010,0.181818182,0.833333333,0.08,0.255813953,0.0625,0.729166667,25,0.583333333,2,0.583333333,11
146,2010,0.454545455,0.666666667,0.16,0.209302326,0.1875,0.6875,26,0.5,0,0.416666667,5
147,2010,0.363636364,0.666666667,0.2,0.255813953,0.041666667,0.416666667,20,0.333333333,-3,0.4375,1
148,2010,0.181818182,0,0.16,0.255813953,0.208333333,0.5625,6,0.5,2,0.4375,-5
149,2010,0.363636364,0.75,0.08,0.302325581,0.166666667,0.520833333,2,0.416666667,-2,0.395833333,-9
150,2010,,,,,,,,,,,
151,2010,0.181818182,0.416666667,0.2,0.302325581,0.020833333,0.3125,-13,0.416666667,2,0.5,0
152,2010,0.363636364,0.333333333,0.28,0.279069767,0.104166667,0.541666667,4,0.333333333,-3,0.583333333,16
153,2010,0.363636364,0.583333333,NA,0.255813953,0.041666667,0.520833333,2,0.333333333,0,0.416666667,-6
154,2010,0.272727273,0.583333333,0.16,0.162790698,0.041666667,0.708333333,28,0.416666667,-2,0.3125,12
155,2010,0.272727273,0.75,0.36,0.325581395,0.333333333,0.625,12,0.583333333,2,0.5625,6
156,2010,0.272727273,0.5,0.12,,0.041666667,0.5,0,0.083333333,1,0.375,-12
157,2010,0.090909091,0.666666667,0.28,0.325581395,0.166666667,0.541666667,24,0.5,1,0.395833333,16
158,2010,0.363636364,0.333333333,0.04,0.069767442,0.104166667,0.5625,14,0.416666667,-2,0.333333333,1
159,2010,0.272727273,0.666666667,NA,0.209302326,0.083333333,0.5625,22,0.75,6,0.458333333,12
160,2010,0.363636364,0.75,0.12,0.302325581,0.208333333,0.854166667,40,0.5,0,0.5,18
161,2010,0.181818182,0.583333333,0.12,0.093023256,0.083333333,0.604166667,23,0.416666667,-2,0.354166667,14
162,2010,0.181818182,0.333333333,0.16,0.302325581,0.083333333,0.5,7,0.416666667,-1,0.645833333,14
163,2010,0.363636364,0.666666667,0.2,0.279069767,0.25,0.5,12,0.666666667,4,0.416666667,8
164,2010,0.454545455,0.583333333,NA,0.162790698,0.104166667,0.854166667,41,0.5,0,0.5625,24
165,2010,0.454545455,0.916666667,0.16,0.279069767,0.1875,0.625,30,0.5,0,0.333333333,6
166,2010,,,,,,,,,,,
167,2010,0.272727273,0.583333333,0.12,0.162790698,0.104166667,0.520833333,25,0.5,0,0.4375,11
168,2010,,,,,,,,,,,
169,2010,0.454545455,0.5,0.2,0.23255814,0.1875,0.479166667,9,0.5,0,0.458333333,14
170,2010,0.363636364,0.5,0.04,0.162790698,0.166666667,0.666666667,16,0.583333333,2,0.4375,4
171,2010,0.454545455,0,0.12,0.209302326,0.1875,0.375,1,0.5,0,0.5625,18
172,2010,0.181818182,0.166666667,0.12,0.255813953,0.145833333,0.479166667,14,0.416666667,-2,0.395833333,0
173,2010,0.454545455,0.833333333,0.16,0.302325581,0.208333333,0.791666667,29,0.583333333,5,0.479166667,20
174,2010,0.272727273,0.416666667,0.2,0.279069767,0.125,0.583333333,25,0.666666667,5,0.354166667,13
175,2010,0.272727273,0.583333333,0.12,0.046511628,0.041666667,0.354166667,8,0.583333333,2,0.479166667,15
176,2010,0.363636364,0.666666667,0.08,0.209302326,0.083333333,0.5,11,0.583333333,2,0.4375,11
177,2010,0.363636364,0.583333333,0.12,0.139534884,0.083333333,0.416666667,20,0.416666667,-2,0.354166667,17
178,2010,0.272727273,0.416666667,0.2,0.209302326,0.125,0.25,12,0,0,0.145833333,-1
179,2010,0.363636364,0.75,0.16,0.255813953,0.1875,0.520833333,16,0.5,0,0.375,8
180,2010,0.545454545,0.583333333,0.24,0.302325581,0.291666667,0.625,24,0.5,2,0.479166667,-2
181,2010,0.181818182,0.916666667,0.24,0.23255814,0.1875,0.9375,43,0.5,0,0.458333333,16
182,2010,0,0.333333333,0.08,0.279069767,0.083333333,0.5,10,0.25,-1,0.291666667,-4
183,2010,0.363636364,0.5,0.04,0.186046512,0.1875,0.458333333,6,0.416666667,-2,0,
184,2010,0.181818182,0.416666667,0.2,0.162790698,0.25,0.5,24,0.583333333,5,0.416666667,17
185,2010,0.363636364,0.666666667,0.16,0.23255814,0.125,0.625,12,0.583333333,3,0.583333333,9
186,2010,0.272727273,0.5,0.08,0.186046512,0.145833333,0.333333333,3,0.416666667,-2,0.291666667,-16
187,2010,0.272727273,0.333333333,0.04,0.23255814,0.104166667,0.395833333,-2,0.25,-3,0.583333333,9
188,2010,0.272727273,0.666666667,0.16,0.23255814,0.104166667,0.0625,-18,0.333333333,-4,0.166666667,-4
189,2010,0.272727273,0.916666667,0.08,0.279069767,0.145833333,0.875,36,0.5,0,0.604166667,10
190,2010,0.272727273,0.666666667,0.2,0.162790698,0.145833333,0.729166667,32,0.583333333,2,0.604166667,27
191,2010,,,,,,,,,,,
192,2010,0.363636364,0.5,0.12,0.209302326,0.125,0.604166667,11,0.5,0,0.5,10
193,2010,0.181818182,0.75,0.12,0.279069767,0.104166667,0.625,29,0.333333333,-4,0.375,10
194,2010,0.181818182,0.583333333,0.08,0.186046512,0.0625,0.375,11,0.25,-1,0,
195,2010,0.272727273,0.083333333,0.32,0.302325581,0.291666667,0.270833333,-8,0.5,0,0.375,-11
196,2010,0.363636364,0.333333333,0.04,0.302325581,0.0625,0.25,5,0.5,3,0.270833333,5
197,2010,0.363636364,0.583333333,0.08,0.186046512,0.166666667,0.395833333,15,0.583333333,2,0.395833333,10
198,2010,,0.166666667,0.12,0.11627907,0.104166667,0.666666667,21,0.333333333,-2,0.583333333,10
199,2010,0.090909091,0.583333333,0.12,0.23255814,0.25,0.625,13,0.5,0,0.604166667,11
200,2010,0.181818182,0.666666667,0.08,0.186046512,0.166666667,0.520833333,2,0.5,6,0.416666667,-8
201,2010,0.363636364,0.083333333,,0.255813953,,0.5625,6,0.666666667,4,0.5,0
202,2010,0.181818182,0.5,0.16,0.209302326,0.104166667,0.625,14,0.416666667,-2,0.541666667,9
203,2010,0.090909091,0,0.16,0.186046512,0.083333333,0.291666667,3,0.333333333,-4,0.291666667,5
204,2010,0.363636364,0.583333333,0.12,0.186046512,0.0625,0.395833333,18,0.583333333,2,0.416666667,16
205,2010,0.272727273,0.5,0.12,0.11627907,0.083333333,0.541666667,17,NA,NA,0.291666667,1
206,2010,0,0.166666667,0.2,0.255813953,0.166666667,0.520833333,16,0.75,6,0.479166667,-1
207,2010,0.454545455,0.083333333,0.16,0.279069767,0.270833333,0.604166667,24,0.5,0,0.729166667,22
208,2010,0.090909091,0.166666667,0.2,0.186046512,0.125,0.583333333,20,0.333333333,0,0.5,6
209,2010,0.545454545,0.833333333,0.12,0.186046512,0.125,0.6875,30,0.75,6,0.583333333,8
210,2010,0.545454545,0.666666667,0.04,0.186046512,0.104166667,0.729166667,32,NA,NA,0.4375,12
211,2010,0.272727273,0.333333333,0.2,0.279069767,0.25,0.458333333,18,0.416666667,-2,0.395833333,14
212,2010,0.363636364,0.583333333,0.24,0.302325581,0.145833333,0.666666667,16,0.5,0,0.708333333,20
213,2010,0.363636364,0.083333333,0.16,0.23255814,0.125,0.625,27,0.416666667,-2,0.5625,7
214,2010,,,,,,,,,,,
215,2010,,0.25,0.12,0.186046512,0.145833333,0.625,14,,,0.541666667,4
218,,0.363636364,,,,,,,,,,
