subnum,year,placeval,ravens,wiat,woodcock,arith,mental.rot.letters.prop,mental.rot.letters.sum,commute.prop,commute.sum,mental.rot.shapes.prop,mental.rot.shapes.sum
1,2010,0.181818182,0,NA,0.302325581,0.208333333,0.583333333,10,0.5,0,0.5625,6
2,2010,0.272727273,0.833333333,0.16,0.255813953,0.145833333,0.9375,42,0.583333333,2,0.708333333,20
3,2010,0.363636364,0.25,NA,0.186046512,0.083333333,0.270833333,-2,0.333333333,0,0.583333333,8
4,2010,0.363636364,0.666666667,0.12,0.209302326,0.145833333,0.8125,30,0.5,0,0.583333333,9
5,2010,0,0.666666667,0.08,0.209302326,0.145833333,0.583333333,9,NA,NA,0.354166667,2
6,2010,NA,0.083333333,,0.162790698,,0.270833333,4,0.583333333,3,0.458333333,12
7,2010,0.090909091,0.833333333,0,0.139534884,0.020833333,0.770833333,27,0.083333333,1,0.6875,18
8,2010,0.090909091,0.166666667,0.04,0.162790698,0.020833333,0.520833333,20,0.083333333,0,0.5,11
9,2010,0.363636364,0.166666667,0.04,0.139534884,0.083333333,0.354166667,8,0.5,0,0.354166667,13
10,2010,0.272727273,0,NA,0.209302326,0.145833333,0.3125,5,NA,NA,0.395833333,7
11,2010,0.272727273,0.25,0.16,0.186046512,0.083333333,0.458333333,17,0.416666667,-1,0.479166667,9
12,2010,0.181818182,0.666666667,0.12,0.255813953,0.145833333,0.708333333,33,0.5,0,0.5625,19
13,2010,0.454545455,0.75,0.28,0.348837209,0.1875,0.770833333,31,0.583333333,2,0.5625,9
14,2010,0.454545455,0.5,NA,0.255813953,0.166666667,0.375,16,0.583333333,2,0.333333333,15
15,2010,0.363636364,0.583333333,0.16,0.302325581,0.1875,0.770833333,26,0.416666667,-2,0.5,0
16,2010,0.272727273,0.916666667,0.12,0.255813953,0.1875,0.791666667,32,0.666666667,4,0.520833333,10
17,2010,0.272727273,0.583333333,NA,0.255813953,0.166666667,0.5,12,0.416666667,2,0.458333333,4
18,2010,0.090909091,0.416666667,NA,0.302325581,0.1875,0.0625,-2,0.583333333,2,0.270833333,1
19,2010,0.181818182,0.75,0.16,0.209302326,0.166666667,0.833333333,34,NA,NA,0.666666667,16
20,2010,0.363636364,0.666666667,0.16,0.23255814,0.104166667,0.5625,26,0.5,0,0.395833333,13
21,2010,0.272727273,0.666666667,0.16,0.23255814,0.25,0.666666667,21,0.666666667,4,0.458333333,3
22,2010,0.363636364,0.583333333,0.12,0.302325581,0.145833333,0.583333333,17,0.5,0,0.333333333,2
23,2010,0.454545455,0,0.12,0.11627907,0.083333333,0.666666667,16,0.583333333,2,0.5625,12
24,2010,0.363636364,0.666666667,0.2,0.279069767,0.166666667,0.895833333,38,0.5,0,0.6875,18
25,2010,0,0.5,0.28,0.255813953,0.083333333,0.625,18,0.5,1,0.583333333,9
26,2010,0.636363636,0.666666667,0.32,0.325581395,0.291666667,0.729166667,26,0.5,0,0.6875,25
27,2010,0.181818182,0.083333333,0.08,0.139534884,0.020833333,0.5625,9,0.5,1,0.479166667,-1
28,2010,0,0.166666667,NA,0.186046512,0.083333333,0.416666667,19,0.5,3,0.291666667,12
29,2010,0.181818182,0.583333333,0.08,0.186046512,0.104166667,0.541666667,10,0.416666667,3,0.5,16
30,2010,0.181818182,0,0.2,0.279069767,0.104166667,0.604166667,28,0.5,0,0.520833333,20
31,2010,,,,,,,,,,,
32,2010,0.363636364,0.583333333,0.08,0.279069767,0.166666667,0.625,12,0.583333333,2,0.583333333,9
33,2010,0.454545455,0.583333333,0,0.279069767,0.291666667,0.5,14,0.5,0,0.375,8
34,2010,0.454545455,0.75,0.24,0.209302326,0.270833333,0.583333333,19,0.5,1,0.5,7
35,2010,0.636363636,0.583333333,0.28,0.302325581,0.208333333,0.666666667,24,0.5,0,0.708333333,20
36,2010,0.363636364,0.666666667,0.12,0.162790698,0.041666667,0.520833333,24,0.5,2,0.333333333,9
37,2010,0.363636364,0.583333333,0.28,0.302325581,0.1875,0.520833333,13,0.5,0,0.4375,-5
38,2010,0.272727273,0.5,0.12,0.186046512,0.104166667,0.770833333,28,0.25,-3,0.666666667,16
39,2010,0.181818182,0.833333333,0.12,0.302325581,0.166666667,0.708333333,32,0.5,4,0.520833333,2
40,2010,0.363636364,0.083333333,0.12,,0.104166667,0.520833333,24,0.5,0,0.541666667,14
41,2010,0.181818182,0,0.16,0.23255814,0.083333333,0.541666667,6,NA,NA,0.625,12
42,2010,0.636363636,0.916666667,NA,0.162790698,0.0625,0.5,14,0.5,0,0.583333333,16
43,2010,0.636363636,0.5,0.28,0.186046512,0.104166667,0.770833333,30,0.583333333,2,0.395833333,7
44,2010,0.272727273,0.083333333,0,0.302325581,0.1875,0.5,14,0.416666667,-2,0.354166667,7
45,2010,0.272727273,0.25,0.04,0.255813953,0.041666667,0.270833333,9,0.5,4,0.375,4
46,2010,0.363636364,0.416666667,NA,0.279069767,0.083333333,0.729166667,35,0.5,2,0.291666667,3
47,2010,0.363636364,0.416666667,0.2,0.162790698,0.041666667,0.645833333,27,0.666666667,4,0.479166667,19
48,2010,0.363636364,0.583333333,0.2,0.255813953,0.145833333,0.5625,6,0.666666667,4,0.479166667,0
49,2010,0.363636364,0.583333333,NA,0.255813953,0.145833333,0.520833333,25,0.666666667,4,0.395833333,7
50,2010,0.272727273,0.5,0.12,0.279069767,0.145833333,0.583333333,26,0.583333333,2,0.520833333,14
51,2010,0.181818182,0.166666667,NA,0.209302326,0.1875,0.333333333,10,0.333333333,-1,0.520833333,15
52,2010,0.272727273,0.666666667,0.24,0.255813953,0.145833333,0.5625,27,0.75,6,0.395833333,18
53,2010,0.181818182,0.333333333,0.16,0.23255814,0.125,0.375,7,0.416666667,-2,0.458333333,7
54,2010,0.545454545,0.583333333,0.2,0.325581395,0.270833333,0.625,25,0.5,0,0.479166667,16
55,2010,,,NA,,,,,,,,
56,2010,0.181818182,0.25,0.16,0.139534884,0.1875,0.458333333,4,NA,NA,0.5625,8
57,2010,,,NA,,,,,,,,
58,2010,0.454545455,0.75,0.24,0.279069767,0.25,0.354166667,6,,,0.520833333,10
59,2010,1,0.583333333,0.08,0.11627907,0.020833333,0.25,0,0.083333333,0,0.5625,13
60,2010,0.181818182,0.75,NA,0.255813953,0.125,0.375,7,0.416666667,-1,0.416666667,13
61,2010,0.454545455,0.083333333,0.12,0.162790698,0.208333333,0.291666667,3,0.666666667,5,0.354166667,16
62,2010,0.272727273,0.583333333,0.08,0.209302326,0.0625,0.520833333,23,0.5,2,0.166666667,-3
63,2010,0.363636364,0.5,0.2,0.186046512,0.104166667,0.645833333,15,0.416666667,-2,0.479166667,-2
