subnum,year,placeval,ravens,wiat,woodcock,arith,wholegroupsums,commute.prop,commute.sum,mental.rot.shapes.prop,mental.rot.shapes.sum,mental.rot.letters.prop,mental.rot.letters.sum
1,2012,0.909090909,0.5,0.56,0.441860465,0.541666667,0.614285714,0.5,0,0.6875,22,0.895833333,38
2,2012,,,,,,,,,,,,
3,2012,,,,,,,,,,,,
4,2012,0,0.666666667,0.24,0.302325581,0.1875,0.142857143,0.666666667,4,0.6875,18,0.895833333,38
5,2012,0.454545455,0.125,0.36,0.348837209,0.145833333,0.207142857,0.583333333,2,0.520833333,6,0.791666667,30
6,2012,0,0.166666667,0.12,0.139534884,0,0.121428571,0.333333333,-4,0.645833333,17,0.75,24
7,2012,0,0.166666667,0.2,0.302325581,0.104166667,0.35,0.333333333,-4,0.604166667,10,0.583333333,8
8,2012,0,0.333333333,0.52,0.395348837,0.125,0.228571429,0.666666667,4,0.479166667,-1,0.375,3
9,2012,0,0.333333333,0.4,0.395348837,0.208333333,0.3,0.666666667,4,0.5625,15,0.5625,6
10,2012,0.363636364,0.416666667,0.36,0.395348837,0.25,0.264285714,0.583333333,2,0.75,26,0.791666667,33
11,2012,0.454545455,0.541666667,0.36,0.372093023,0,0.342857143,0.5,0,0.645833333,15,0.75,24
12,2012,1,0.833333333,0.36,0.441860465,0.291666667,0.4,0.583333333,3,0.770833333,29,0.958333333,44
13,2012,1,0.583333333,0.68,0.511627907,0.520833333,0.542857143,0.5,0,0.729166667,22,0.979166667,46
14,2012,0.636363636,0.833333333,0.52,0.348837209,0.270833333,0.371428571,0.5,0,0.75,24,0.9375,42
15,2012,1,0.791666667,0.6,0.465116279,0.395833333,0.378571429,0.5,0,0.583333333,8,0.729166667,24
16,2012,0.454545455,0.708333333,0.4,0.372093023,0.25,0.192857143,0.75,6,0.8125,30,0.979166667,46
17,2012,0.818181818,0.666666667,0.6,0.418604651,0.354166667,0.35,0.5,0,0.791666667,29,0.833333333,34
18,2012,0.909090909,0.875,0.6,0.441860465,0.416666667,0.478571429,0.5,0,0.854166667,34,0.895833333,39
19,2012,0.727272727,0.708333333,0.36,0.325581395,0.25,0.25,0.416666667,-2,0.479166667,-1,0.9375,43
20,2012,0.636363636,0.833333333,0.4,0.465116279,0.291666667,0.407142857,0.5,0,0.583333333,10,0.9375,42
21,2012,1,0.583333333,0.72,0.441860465,0.583333333,0.542857143,0.416666667,-2,0.729166667,28,0.770833333,26
22,2012,0.545454545,0.708333333,0.56,0.465116279,,0.442857143,0.5,0,0.583333333,8,0.9375,42
23,2012,0.090909091,0.166666667,0.2,0.325581395,0.1875,0.214285714,0.583333333,2,0.541666667,4,0.666666667,16
24,2012,1,0.708333333,0.64,0.465116279,0.333333333,0.45,0.5,0,0.8125,30,0.833333333,32
25,2012,0.181818182,0.791666667,0.52,0.441860465,0.333333333,0.421428571,0.416666667,-2,0.479166667,-2,0.833333333,32
26,2012,0.818181818,0.833333333,0.6,0.465116279,0.479166667,0.528571429,0.5,0,0.666666667,16,0.9375,42
27,2012,0.181818182,0.041666667,0.44,0.372093023,0.229166667,0.257142857,0.333333333,-4,0.645833333,16,0.604166667,12
28,2012,0.363636364,0.5,0.48,0.279069767,0.166666667,0.307142857,0.5,0,0.479166667,-2,0.833333333,33
29,2012,0.363636364,0.458333333,0.44,0.348837209,0.270833333,0.2,0.5,0,0.5625,6,0.625,12
30,2012,0.818181818,0.791666667,0.52,0.465116279,0.354166667,0.442857143,0.5,0,0.625,13,0.9375,42
31,2012,,,,,,,,,,,,
32,2012,0.272727273,0.416666667,0.36,0.372093023,0.125,0.05,0.416666667,-2,0.729166667,22,0.729166667,22
33,2012,1,0.541666667,0.4,0.418604651,0.354166667,0.342857143,0.416666667,-2,0.854166667,34,0.770833333,26
34,2012,1,0.291666667,0.48,0.418604651,0.208333333,0.357142857,0.666666667,4,0.541666667,7,0.8125,31
35,2012,0.818181818,0.583333333,0.6,0.465116279,0.354166667,0.535714286,0.5,0,0.520833333,2,0.791666667,28
36,2012,0.636363636,0.666666667,0.4,0.395348837,0.354166667,0.3,0.5,0,0.520833333,3,0.770833333,27
37,2012,1,0.625,0.44,0.348837209,0.3125,0.335714286,0.5,0,0.604166667,10,0.729166667,22
38,2012,0.545454545,0.75,0.44,0.348837209,0.354166667,0.392857143,0.583333333,2,0.6875,20,0.875,36
39,2012,0.909090909,0.666666667,0.64,0.441860465,0.479166667,0.342857143,0.5,0,0.604166667,10,0.958333333,44
40,2012,0.181818182,0.625,0.48,0.395348837,0.375,0.292857143,0.5,3,0.6875,18,0.895833333,38
41,2012,0.545454545,0.708333333,0.36,0.372093023,0.25,0.135714286,0.333333333,1,0.833333333,32,0.854166667,34
42,2012,0.272727273,0.416666667,0.32,0.418604651,0.229166667,0.1,0.75,6,0.583333333,8,0.8125,30
43,2012,0.909090909,0.541666667,0.48,0.441860465,0.583333333,0.528571429,0.916666667,10,0.583333333,8,0.875,36
44,2012,0.363636364,0.541666667,0.4,0.372093023,0.270833333,0.114285714,0.416666667,-2,0.479166667,-2,0.666666667,16
45,2012,0.363636364,0.416666667,0.4,0.325581395,0.208333333,0.2,0.5,0,0.583333333,8,0.729166667,22
46,2012,0.363636364,0.25,0.28,0.255813953,0.125,0.085714286,0.333333333,-4,0.625,12,0.958333333,44
47,2012,0.818181818,0.666666667,0.56,0.488372093,0.270833333,0.392857143,0.5,0,0.6875,18,0.75,24
48,2012,1,0.833333333,0.76,0.511627907,0.333333333,0.321428571,0.75,6,0.645833333,14,0.916666667,40
49,2012,0.454545455,0.416666667,0.4,0.395348837,0.208333333,0.107142857,0.666666667,4,0.541666667,15,0.895833333,39
50,2012,0.636363636,0.708333333,0.48,0.441860465,0.458333333,0.414285714,0.5,0,0.625,13,0.916666667,41
51,2012,0.090909091,0.791666667,0.28,0.302325581,0.3125,0.242857143,0.5,0,0.645833333,14,0.854166667,35
52,2012,1,0.75,0.6,0.488372093,0.291666667,0.3,0.5,0,0.666666667,16,0.9375,43
53,2012,0,0.375,0.48,0.348837209,0.270833333,0.092857143,0.5,0,0.479166667,,0.833333333,34
54,2012,0.727272727,0.958333333,0.6,0.418604651,0.375,0.378571429,0.75,6,0.854166667,34,0.979166667,46
55,2012,,,,,,,,,,,,
56,2012,1,0.5,0.2,0.302325581,0.125,0.192857143,0.583333333,2,0.5625,8,0.8125,30
57,2012,,,,,,,,,,,,
58,2012,1,0.541666667,0.64,0.418604651,0.125,0.3,0.833333333,8,0.604166667,10,0.833333333,32
59,2012,0,0.291666667,0.4,0.302325581,,0.064285714,0.5,1,0.395833333,-6,0.645833333,16
60,2012,0.363636364,0.458333333,0.48,0.372093023,0.291666667,0.435714286,0.583333333,2,0.75,25,0.875,36
61,2012,0.363636364,0.541666667,0.56,0.395348837,0.25,0.335714286,0.5,0,0.729166667,23,0.4375,-2
62,2012,0.363636364,0.541666667,0.4,0.395348837,0.229166667,0.35,0.583333333,2,0.625,13,0.75,25
63,2012,1,0.458333333,0.48,0.395348837,0.416666667,0.292857143,0.5,0,0.541666667,5,0.770833333,27
64,2012,0.272727273,0.375,0.48,0.441860465,0.3125,0.285714286,0.5,0,0.729166667,22,0.791666667,28
65,2012,0.363636364,0.416666667,0.4,0.395348837,0.354166667,0.3,0.5,0,0.75,24,0.916666667,40
66,2012,0.727272727,0.375,0.6,0.465116279,0.520833333,0.342857143,0.5,0,0.8125,30,0.645833333,14
67,2012,0,0.458333333,0.32,0.302325581,0.083333333,0.035714286,0.416666667,-2,0.541666667,4,0.770833333,26
68,2012,0.181818182,0.833333333,0.32,0.395348837,0.291666667,0.164285714,0.5,0,0.645833333,14,0.854166667,34
69,2012,0.090909091,0.416666667,0.48,0.418604651,0.375,0.321428571,0.5,1,0.625,12,0.666666667,16
70,2012,0,0.458333333,0.56,0.395348837,0.270833333,0.407142857,0.416666667,-2,0.854166667,36,0.9375,42
71,2012,0.909090909,0.75,0.56,0.395348837,0.291666667,0.235714286,0.5,0,0.958333333,45,0.770833333,32
72,2012,1,0.333333333,0.6,0.465116279,0.604166667,0.542857143,0.75,6,0.541666667,4,0.6875,18
73,2012,0.909090909,0.583333333,0.36,0.302325581,0.229166667,0.25,0.5,3,0.666666667,17,0.895833333,38
74,2012,0.363636364,0.708333333,0.56,0.395348837,0.270833333,0.278571429,0.5,0,0.729166667,22,0.791666667,28
75,2012,1,0.791666667,0.68,0.465116279,0.458333333,0.407142857,1,12,0.5625,6,0.583333333,8
76,2012,0.272727273,0.541666667,0.56,0.465116279,0.354166667,0.328571429,0.5,0,0.6875,27,0.666666667,16
77,2012,,,,,,,,,,,,
78,2012,,,,,,,,,,,,
79,2012,1,0.75,0.6,0.441860465,0.333333333,0.342857143,0.5,0,0.9375,42,0.916666667,41
80,2012,0.363636364,0.416666667,0.4,0.348837209,0.3125,0.05,0.25,0,0.625,12,0.75,24
81,2012,0.909090909,0.541666667,0.36,0.348837209,0.208333333,0.242857143,0.666666667,5,0.4375,-6,0.5625,6
82,2012,0.909090909,0.708333333,0.56,0.372093023,0.291666667,0.307142857,0.5,0,0.875,38,0.958333333,44
83,2012,0.545454545,0.416666667,0.36,0.23255814,0.0625,0.235714286,0.416666667,-2,0.645833333,15,0.604166667,11
84,2012,0.363636364,0.333333333,0.28,0.372093023,0.270833333,0.385714286,0.583333333,2,0.541666667,4,0.604166667,10
85,2012,0.363636364,0.208333333,0.36,0.325581395,0.208333333,0.228571429,0.5,0,0.458333333,-4,0.645833333,14
86,2012,0.454545455,0.541666667,0.32,0.255813953,0.125,0.1,0.333333333,-4,0.5625,6,0.75,26
87,2012,0.454545455,0.916666667,0.4,0.372093023,0.3125,0.214285714,0.25,0,0.479166667,13,0.833333333,33
88,2012,0,0.333333333,0.52,0.302325581,0.333333333,0.164285714,0.666666667,4,0.479166667,-2,0.854166667,36
89,2012,1,0.875,0.76,0.441860465,0.354166667,0.45,0.916666667,10,0.8125,30,0.979166667,46
90,2012,0.090909091,0.75,0.48,0.348837209,0.25,0.235714286,0,-3,0.666666667,19,0.9375,42
91,2012,0.090909091,0.208333333,0.32,0.395348837,0.291666667,0.328571429,0.5,0,0.5,0,0.666666667,18
92,2012,0.727272727,0.708333333,0.4,0.372093023,0.208333333,0.242857143,0.5,0,0.708333333,23,0.833333333,33
