subnum,year,placeval,ravens,wiat,woodcock,arith,wholegroupsums,commute.prop,commute.sum,mental.rot.shapes.prop,mental.rot.shapes.sum,mental.rot.letters.prop,mental.rot.letters.sum
1,2013,1,0.375,0.72,0.604651163,0.791666667,0.7,0.583333333,2,0.3125,15,0.9375,42
2,2013,,,,,,,,,,,,
3,2013,,,,,,,,,,,,
4,2013,0.6,0.458333333,0.48,0.441860465,0.291666667,0.207142857,0.583333333,2,0.375,18,0.875,36
5,2013,0.9,0.5,0.48,0.441860465,0.354166667,0.385714286,0.583333333,2,0.166666667,8,0.916666667,40
6,2013,0.1,0.208333333,0.16,0.162790698,0.104166667,0,0.333333333,-4,0.125,6,0.8125,32
7,2013,0,0.5,0.6,0.395348837,0.291666667,0.428571429,0.5,0,0.041666667,2,0.770833333,26
8,2013,0,0.458333333,0.52,0.325581395,0.291666667,0.407142857,0.333333333,1,0.416666667,20,0.729166667,24
9,2013,0.3,0.25,0.52,0.511627907,0.416666667,0.457142857,0.416666667,-1,0.770833333,37,0.833333333,32
10,2013,1,0.625,0.6,0.465116279,0.354166667,0.492857143,0.5,0,0.291666667,14,0.9375,42
11,2013,0.5,0.625,0.4,0.418604651,0.291666667,0.428571429,0.75,6,0.520833333,2,0.958333333,45
12,2013,1,0.708333333,0.68,0.558139535,0.5625,0.528571429,0.5,0,0.895833333,39,0.979166667,46
13,2013,1,0.708333333,0.88,0.604651163,0.791666667,0.921428571,0.5,0,0.708333333,20,1,48
14,2013,0.9,0.791666667,0.6,0.511627907,0.3125,0.457142857,0.416666667,-2,0.708333333,25,0.979166667,46
15,2013,1,0.666666667,0.76,0.604651163,0.458333333,0.442857143,0.5,0,0.645833333,14,0.875,37
16,2013,1,0.625,0.56,0.395348837,0.354166667,0.35,0.5,0,0.75,24,0.9375,42
17,2013,1,0.583333333,0.88,0.581395349,0.479166667,0.457142857,0.5,0,0.875,36,0.895833333,38
18,2013,1,0.833333333,0.92,0.627906977,0.583333333,0.6,0.75,6,1,48,1,48
19,2013,1,0.375,0.64,0.488372093,0.375,0.328571429,0.5,0,0.4375,-6,0.854166667,36
20,2013,1,0.75,0.6,0.488372093,0.541666667,0.471428571,0.916666667,10,0.583333333,9,0.958333333,44
21,2013,1,0.166666667,0.64,0.488372093,0.729166667,0.585714286,0.5,1,0.520833333,3,0.895833333,39
22,2013,0.9,0.625,0.8,0.511627907,0.354166667,0.45,0.5,0,0.791666667,28,0.9375,42
23,2013,0.8,0.333333333,0.44,0.465116279,0.3125,0.371428571,0.333333333,-4,0.6875,18,0.875,36
24,2013,1,0.708333333,0.72,0.581395349,0.416666667,0.528571429,0.5,0,0.604166667,10,0.854166667,34
25,2013,1,0.583333333,0.76,0.488372093,0.604166667,0.471428571,0.583333333,2,0.729166667,24,0.854166667,34
26,2013,0.9,0.791666667,0.84,0.627906977,0.5,0.592857143,0.916666667,10,0.916666667,41,0.916666667,42
27,2013,0.3,0.166666667,0.8,0.302325581,0.395833333,0.407142857,0.5,0,0.770833333,26,0.75,24
28,2013,0.1,0.5,0.56,0.465116279,0.291666667,0.4,0.166666667,-1,0.604166667,10,0.854166667,34
29,2013,0.8,0.375,0.52,0.302325581,0.291666667,0.4,0.5,0,0.6875,18,0.645833333,14
30,2013,1,0.583333333,0.76,0.558139535,0.395833333,0.485714286,0.5,0,0.5625,8,0.854166667,36
31,2013,,,,,,,,,,,,
32,2013,,,,,,,,,,,,
33,2013,1,0.625,0.6,0.418604651,0.458333333,0.464285714,0.5,0,0.625,14,0.833333333,32
34,2013,0.8,0.583333333,0.68,0.441860465,0.479166667,0.514285714,0.583333333,2,0.8125,30,0.895833333,38
35,2013,1,0.5,0.8,0.558139535,0.604166667,0.664285714,0.5,0,0.729166667,22,0.916666667,40
36,2013,,,,,,,,,,,,
37,2013,1,0.583333333,0.52,0.511627907,0.395833333,,1,12,0.75,24,0.645833333,20
38,2013,1,0.375,0.68,0.488372093,0.458333333,0.478571429,0.5,0,0.5625,15,0.9375,43
39,2013,0.9,0.708333333,0.84,0.558139535,0.604166667,0.542857143,0.5,0,0.645833333,14,0.979166667,46
40,2013,0.8,0.666666667,0.56,0.488372093,0.5625,0.4,0.5,0,0.625,12,0.9375,42
41,2013,1,0.291666667,0.52,0.441860465,0.4375,0.414285714,0.5,0,0.8125,32,0.895833333,38
42,2013,0.3,0.458333333,0.52,0.395348837,0.333333333,0.15,0.5,0,0.645833333,15,0.875,36
