subnum,year,verbalwm,spatialwm,ans
1,2010,1.92,3.67,0.54
2,2010,,,0.33
3,2010,2.58,1.33,0.42
4,2010,3.25,2.96,0.33
5,2010,3.50,2.38,
6,2010,1.71,1.46,1.00
7,2010,1.42,1.25,0.33
8,2010,4.25,1.50,1.00
9,2010,3.46,2.46,0.22
10,2010,2.12,1.46,0.59
11,2010,2.58,3.67,0.43
12,2010,2.12,1.79,0.23
13,2010,3.17,3.12,0.11
14,2010,3.54,4.58,0.24
15,2010,4.17,2.17,0.36
16,2010,1.25,2.96,0.12
17,2010,1.88,2.88,
18,2010,3.83,2.54,0.23
19,2010,2.29,2.21,0.92
20,2010,3.08,3.46,0.16
21,2010,2.83,4.50,0.26
22,2010,2.92,3.00,0.45
23,2010,4.04,4.25,0.29
24,2010,3.46,4.38,0.15
25,2010,4.21,2.58,0.65
26,2010,3.96,4.62,0.15
27,2010,2.58,1.54,0.52
28,2010,1.58,1.46,0.41
29,2010,2.71,2.17,0.47
30,2010,2.21,4.21,1.00
31,2010,,,
32,2010,2.75,3.50,0.72
33,2010,4.00,4.38,0.47
34,2010,2.83,2.71,0.33
35,2010,2.38,3.79,0.36
36,2010,1.79,1.71,0.25
37,2010,2.08,3.08,0.13
38,2010,2.96,2.71,0.15
39,2010,3.71,5.00,0.26
40,2010,1.88,2.58,0.71
41,2010,2.88,2.12,0.52
42,2010,2.83,4.54,0.30
43,2010,3.12,3.92,
44,2010,1.67,1.62,0.39
45,2010,1.58,1.79,0.24
46,2010,3.42,3.67,0.48
47,2010,2.75,3.54,0.37
48,2010,4.12,3.33,0.64
49,2010,3.21,2.83,0.23
50,2010,2.67,2.29,0.32
51,2010,2.29,2.46,0.41
52,2010,2.92,1.42,0.42
53,2010,2.21,1.83,0.55
54,2010,3.12,4.25,0.32
55,2010,,,
56,2010,1.29,2.21,0.23
57,2010,,,
58,2010,1.96,1.38,0.36
59,2010,2.75,1.58,0.71
60,2010,2.67,2.12,0.41
61,2010,2.38,2.42,0.43
62,2010,2.75,2.38,0.27
63,2010,3.92,3.04,0.32
64,2010,3.33,2.29,1.00
65,2010,4.50,4.29,0.14
66,2010,3.92,4.29,0.46
67,2010,2.25,1.42,
68,2010,2.83,2.54,0.10
69,2010,1.25,1.46,1.00
70,2010,2.00,2.04,0.39
71,2010,3.08,3.67,0.42
72,2010,2.50,3.88,0.40
73,2010,2.62,3.79,0.38
74,2010,4.25,2.79,0.78
75,2010,4.17,3.79,0.16
76,2010,4.12,2.79,0.28
77,2010,4.79,2.21,0.34
78,2010,1.46,2.00,0.53
79,2010,3.46,4.04,0.32
80,2010,1.42,1.38,1.00
81,2010,2.50,2.92,1.00
82,2010,1.71,2.75,
83,2010,2.50,1.25,0.37
84,2010,3.46,3.08,0.32
85,2010,2.96,1.33,0.39
86,2010,2.12,2.92,0.67
87,2010,3.75,4.38,0.90
88,2010,3.29,2.12,0.83
89,2010,4.25,4.21,0.22
90,2010,3.25,1.29,0.44
91,2010,4.12,2.08,0.39
92,2010,3.29,2.71,0.50
