subnum,year,verbalwm,spatialwm,ans
93,2010,4.33,4.04,0.13
94,2010,3.08,2.75,0.68
95,2010,1.62,3.92,0.75
96,2010,2.54,1.75,0.34
97,2010,4.00,2.08,0.42
98,2010,3.08,3.38,0.38
99,2010,3.25,2.04,0.15
100,2010,3.67,3.67,0.10
101,2010,1.79,2.88,1.00
102,2010,3.71,3.71,0.38
103,2010,1.58,4.00,0.36
104,2010,2.79,1.96,0.54
105,2010,2.50,1.88,0.61
106,2010,3.12,2.83,0.14
107,2010,3.38,2.21,0.42
108,2010,2.33,2.46,0.42
109,2010,3.04,4.33,0.38
110,2010,3.58,4.33,0.26
111,2010,1.21,2.79,0.48
112,2010,3.46,5.21,0.60
113,2010,,,
114,2010,3.21,2.62,0.41
115,2010,3.12,3.21,0.32
116,2010,2.54,3.00,0.12
117,2010,4.25,3.46,0.50
118,2010,,,
119,2010,2.29,2.04,0.28
120,2010,,,
121,2010,2.71,2.46,0.50
122,2010,2.29,1.88,0.46
123,2010,3.75,3.58,0.57
124,2010,2.08,1.62,0.40
125,2010,,,
126,2010,2.21,2.29,0.54
127,2010,3.00,2.67,0.42
128,2010,4.42,2.75,0.23
129,2010,3.00,3.58,0.29
130,2010,1.92,3.04,0.35
131,2010,1.12,1.79,0.64
132,2010,1.21,1.33,1.00
133,2010,1.46,1.17,0.24
134,2010,2.67,1.96,0.47
135,2010,1.67,1.96,0.49
136,2010,1.50,1.67,0.71
137,2010,2.88,2.00,0.23
138,2010,2.58,1.75,0.40
139,2010,1.33,1.62,
140,2010,4.29,2.04,0.99
141,2010,3.46,3.42,0.40
142,2010,1.29,1.42,1.00
143,2010,2.08,3.12,0.38
144,2010,2.88,1.46,0.60
145,2010,3.62,2.67,0.38
146,2010,3.08,4.83,0.29
147,2010,1.79,1.92,0.63
148,2010,3.00,3.50,0.30
149,2010,4.12,3.67,0.44
150,2010,,,
151,2010,3.04,3.17,0.22
152,2010,3.08,2.88,0.30
153,2010,1.96,1.54,0.23
154,2010,1.62,2.25,0.19
155,2010,2.71,3.88,0.39
156,2010,1.46,3.25,1.00
157,2010,5.62,3.75,0.21
158,2010,1.17,2.62,0.61
159,2010,1.75,2.08,0.32
160,2010,3.33,3.25,0.64
161,2010,3.62,3.46,0.36
162,2010,2.33,1.25,0.33
163,2010,4.46,2.75,0.74
164,2010,3.71,4.79,0.37
165,2010,2.96,4.58,0.20
166,2010,,,
167,2010,1.29,1.25,0.37
168,2010,,,
169,2010,3.12,3.58,0.44
170,2010,4.21,1.75,0.59
171,2010,1.12,1.21,0.32
172,2010,1.67,1.67,0.24
173,2010,4.25,3.88,0.38
174,2010,3.38,3.75,0.32
175,2010,2.25,2.17,0.26
176,2010,2.75,1.58,0.28
177,2010,2.79,1.12,0.55
178,2010,2.96,2.33,0.69
179,2010,4.71,4.29,0.23
180,2010,4.67,4.04,0.22
181,2010,3.75,4.83,0.12
182,2010,2.38,1.71,0.22
183,2010,2.46,3.29,0.36
184,2010,3.71,1.71,0.92
185,2010,2.21,3.25,0.60
186,2010,2.75,2.50,0.28
187,2010,1.38,1.17,0.38
188,2010,3.75,2.29,0.23
189,2010,3.12,4.42,0.13
190,2010,2.71,4.46,0.21
191,2010,,,
192,2010,3.04,2.67,0.18
193,2010,2.29,1.54,0.17
194,2010,2.42,1.62,0.46
195,2010,3.38,3.75,0.13
196,2010,3.71,1.25,0.58
197,2010,2.38,1.21,0.25
198,2010,1.96,1.25,0.35
199,2010,3.21,1.92,0.47
200,2010,1.29,1.12,1.00
201,2010,2.67,2.54,0.29
202,2010,2.08,1.38,0.14
203,2010,1.25,1.21,0.89
204,2010,3.83,3.92,0.39
205,2010,1.54,2.25,0.56
206,2010,3.58,3.12,0.52
207,2010,3.58,3.08,0.32
208,2010,1.83,3.50,0.22
209,2010,3.08,3.29,0.22
210,2010,2.88,1.58,0.57
211,2010,4.79,3.21,0.32
212,2010,3.00,3.33,
213,2010,1.25,1.83,0.98
214,2010,,,
215,2010,3.00,2.38,0.29
1,2011,4.21,3.71,0.13
2,2011,2.71,3.04,0.13
3,2011,2.42,5.62,0.08
4,2011,3.04,2.96,0.13
5,2011,3.79,2.42,0.15
6,2011,2.33,2.04,0.14
7,2011,1.83,3.79,0.26
8,2011,2.75,1.25,0.02
9,2011,2.67,3.96,0.17
10,2011,4.21,1.33,0.15
11,2011,3.92,3.46,0.15
12,2011,3.38,3.00,0.19
13,2011,4.67,4.04,0.13
14,2011,3.58,4.54,0.16
15,2011,2.67,3.54,0.23
16,2011,4.50,3.25,0.11
17,2011,2.92,3.17,0.18
18,2011,2.83,4.54,0.14
19,2011,2.54,3.96,0.36
20,2011,3.83,4.04,0.09
21,2011,2.83,4.62,0.10
22,2011,3.29,3.04,0.12
23,2011,1.62,3.21,0.15
24,2011,3.21,4.50,0.08
25,2011,3.83,2.38,0.15
26,2011,2.58,3.50,0.14
27,2011,3.42,3.42,0.10
28,2011,3.88,2.71,0.19
29,2011,3.58,3.25,0.20
30,2011,3.50,3.83,0.21
31,2011,3.67,3.62,0.25
32,2011,2.08,3.67,0.47
33,2011,5.46,3.71,0.13
34,2011,4.33,3.17,0.17
35,2011,3.29,2.33,0.26
36,2011,2.38,3.29,0.14
37,2011,3.08,3.00,0.12
38,2011,2.75,3.71,
39,2011,4.21,2.88,0.17
40,2011,2.71,3.46,0.29
41,2011,3.21,2.38,0.16
42,2011,4.17,4.00,0.19
43,2011,3.46,3.88,0.19
44,2011,4.12,3.96,0.14
45,2011,4.50,3.50,0.10
46,2011,2.75,2.92,0.34
47,2011,4.25,3.54,0.14
48,2011,5.54,3.96,0.18
49,2011,2.50,2.83,0.10
50,2011,3.71,3.21,0.24
51,2011,2.67,2.67,0.27
52,2011,4.71,3.92,0.28
53,2011,2.58,3.75,0.20
54,2011,4.33,4.25,0.20
55,2011,,,
56,2011,2.54,1.79,0.11
57,2011,,,
58,2011,4.08,3.12,0.18
59,2011,3.83,2.88,1.00
60,2011,4.17,6.12,0.14
61,2011,3.08,2.29,0.20
62,2011,2.75,3.25,0.24
63,2011,4.00,3.50,0.21
64,2011,3.58,3.67,0.10
65,2011,5.17,3.54,0.21
66,2011,5.21,4.33,0.14
67,2011,3.17,1.62,0.16
68,2011,3.12,4.46,0.21
69,2011,3.67,3.38,0.11
70,2011,3.12,2.54,0.23
71,2011,3.75,4.96,0.37
72,2011,3.88,3.58,0.11
73,2011,3.17,4.17,0.13
74,2011,4.38,4.08,0.28
75,2011,5.21,2.71,0.14
76,2011,3.88,3.00,0.19
77,2011,3.12,3.83,0.34
78,2011,3.25,3.46,0.24
79,2011,3.88,3.71,0.15
80,2011,2.79,2.00,0.23
81,2011,3.38,2.92,0.78
82,2011,6.17,3.75,0.19
83,2011,3.25,1.62,0.21
84,2011,3.88,3.50,0.08
85,2011,5.04,2.58,0.17
86,2011,2.75,3.04,0.18
87,2011,3.79,4.04,0.17
88,2011,2.50,2.42,0.20
89,2011,3.46,4.88,0.11
90,2011,2.83,1.96,0.21
91,2011,3.83,2.50,0.11
92,2011,6.38,3.21,0.18
93,2011,4.75,2.79,0.12
94,2011,3.96,3.08,0.14
95,2011,3.54,4.25,0.13
96,2011,4.67,4.25,0.22
97,2011,6.00,3.04,0.17
98,2011,3.75,3.83,0.23
99,2011,4.08,4.17,0.14
100,2011,4.25,2.96,0.10
101,2011,4.00,3.17,0.97
102,2011,4.00,3.79,0.42
103,2011,,,
104,2011,3.17,3.67,0.10
105,2011,4.04,2.83,0.15
106,2011,2.96,3.00,
107,2011,3.46,3.17,0.10
108,2011,3.88,3.67,0.16
109,2011,3.33,3.33,0.12
110,2011,3.21,4.17,0.15
111,2011,3.04,4.25,0.19
112,2011,3.46,1.96,0.41
113,2011,,,
114,2011,4.17,3.83,0.14
115,2011,4.08,3.25,0.18
116,2011,3.92,5.00,0.16
117,2011,3.38,4.88,0.18
118,2011,,,
119,2011,3.29,4.00,0.20
120,2011,,,
121,2011,3.62,3.75,
122,2011,2.33,2.75,0.08
123,2011,3.12,4.83,0.13
124,2011,2.88,1.96,0.26
125,2011,2.29,1.62,0.21
126,2011,2.33,2.88,1.00
127,2011,4.00,2.83,0.20
128,2011,4.50,3.46,0.11
129,2011,4.46,3.75,0.12
130,2011,3.12,4.71,0.13
131,2011,2.42,1.25,0.12
132,2011,1.38,1.71,1.00
133,2011,2.75,2.33,0.14
134,2011,3.33,4.12,0.12
135,2011,2.96,1.92,0.21
136,2011,3.12,3.67,0.26
137,2011,3.08,3.00,0.12
138,2011,4.46,2.67,0.19
139,2011,1.42,1.58,0.19
140,2011,3.00,3.33,0.35
141,2011,3.92,4.08,0.13
142,2011,2.71,4.25,0.57
143,2011,3.00,3.00,
144,2011,4.12,3.17,0.09
145,2011,4.50,5.92,0.13
146,2011,2.92,4.17,0.13
147,2011,2.83,1.88,0.42
148,2011,2.88,4.08,0.32
149,2011,4.08,3.21,0.13
150,2011,,,
151,2011,4.38,4.08,0.19
152,2011,2.96,3.96,0.13
153,2011,2.62,3.25,0.19
154,2011,3.33,4.12,0.10
155,2011,3.50,4.33,0.10
156,2011,2.96,2.04,1.00
157,2011,3.54,3.79,0.13
158,2011,2.75,3.67,0.30
159,2011,2.42,2.88,0.12
160,2011,5.38,4.46,0.17
161,2011,2.21,2.54,0.15
162,2011,2.71,3.79,0.19
163,2011,3.21,2.08,0.12
164,2011,4.12,4.54,0.22
165,2011,3.88,3.71,0.15
166,2011,,,
167,2011,2.33,3.25,0.19
168,2011,,,
169,2011,3.29,4.21,0.11
170,2011,3.62,4.38,0.77
171,2011,3.33,2.83,0.10
172,2011,4.62,4.88,0.15
173,2011,4.29,3.08,0.16
174,2011,3.88,3.83,0.06
175,2011,3.58,2.83,0.12
176,2011,2.42,2.25,0.15
177,2011,1.58,4.00,0.14
178,2011,3.21,4.00,0.21
179,2011,3.88,4.71,0.17
180,2011,4.79,4.25,0.15
181,2011,4.21,7.12,0.32
182,2011,2.96,2.54,0.20
183,2011,3.25,2.04,0.15
184,2011,3.88,3.62,0.29
185,2011,3.50,3.38,0.16
186,2011,4.83,2.00,
187,2011,2.25,1.67,0.23
188,2011,3.21,3.38,0.21
189,2011,3.17,3.67,0.15
190,2011,3.21,3.25,0.10
191,2011,3.17,2.96,0.31
192,2011,2.67,3.67,0.11
193,2011,3.88,3.38,0.10
194,2011,4.21,3.88,0.18
195,2011,4.62,3.46,0.10
196,2011,4.33,4.12,0.16
197,2011,3.42,3.00,0.13
198,2011,2.12,3.12,0.27
199,2011,3.38,5.62,0.14
200,2011,2.88,4.00,0.14
201,2011,3.25,3.21,0.11
202,2011,3.17,3.88,0.10
203,2011,3.58,2.75,0.12
204,2011,3.96,3.00,0.15
205,2011,3.96,3.92,0.20
206,2011,4.42,4.17,0.15
207,2011,3.79,3.67,0.12
208,2011,2.17,3.71,0.20
209,2011,4.50,3.88,0.12
210,2011,3.25,3.50,0.13
211,2011,4.62,2.92,0.28
212,2011,2.92,4.62,0.12
213,2011,2.29,1.75,0.18
214,2011,,,
215,2011,2.46,1.92,0.21
1,2012,3.88,4.79,0.17
2,2012,,,
3,2012,,,
4,2012,3.00,4.29,0.15
5,2012,3.79,2.96,0.11
6,2012,2.75,2.54,0.14
7,2012,3.29,1.58,0.32
8,2012,3.83,1.33,0.57
9,2012,3.96,3.96,0.26
10,2012,4.67,3.79,0.09
11,2012,4.54,4.08,0.17
12,2012,4.33,3.54,0.12
13,2012,4.67,4.21,0.19
14,2012,4.46,3.46,0.08
15,2012,6.17,4.00,0.11
16,2012,3.50,4.38,0.09
17,2012,3.25,4.42,0.12
18,2012,3.46,3.25,0.08
19,2012,2.67,3.17,0.29
20,2012,5.54,4.75,0.12
21,2012,3.46,4.62,0.22
22,2012,3.38,5.04,0.14
23,2012,2.88,4.83,0.12
24,2012,3.00,3.50,0.23
25,2012,4.17,3.88,0.10
26,2012,4.17,4.38,0.10
27,2012,4.25,3.96,0.07
28,2012,4.50,5.25,0.15
29,2012,3.83,3.54,0.11
30,2012,2.83,3.58,0.19
31,2012,,,
32,2012,2.96,2.79,0.18
33,2012,4.75,3.92,0.14
34,2012,4.62,3.46,0.15
35,2012,2.88,2.71,0.18
36,2012,3.21,3.79,0.10
37,2012,3.54,3.75,0.12
38,2012,3.33,3.96,0.10
39,2012,5.21,3.21,0.12
40,2012,3.12,3.54,0.07
41,2012,3.17,3.75,0.16
42,2012,4.04,3.29,0.18
43,2012,3.83,5.79,0.18
44,2012,4.29,2.96,0.21
45,2012,4.21,3.42,0.22
46,2012,2.75,3.50,0.15
47,2012,3.92,3.33,0.11
48,2012,5.08,3.42,0.17
49,2012,3.79,3.67,0.12
50,2012,3.71,4.08,0.08
51,2012,4.08,3.88,0.16
52,2012,5.71,4.58,0.13
53,2012,3.79,4.08,0.22
54,2012,3.54,3.58,0.12
55,2012,,,
56,2012,3.29,2.38,0.11
57,2012,,,
58,2012,4.00,4.17,0.09
59,2012,2.71,1.54,1.00
60,2012,4.12,4.29,0.14
61,2012,3.12,3.62,0.15
62,2012,3.50,4.21,0.14
63,2012,3.88,3.96,0.12
64,2012,3.67,3.29,0.17
65,2012,4.29,4.04,0.08
66,2012,4.08,6.54,0.11
67,2012,2.54,1.75,0.16
68,2012,4.38,4.46,0.11
69,2012,4.12,3.58,0.11
70,2012,3.00,2.88,0.13
71,2012,4.83,3.50,0.14
72,2012,4.62,3.29,0.11
73,2012,3.67,4.25,0.08
74,2012,3.38,4.08,0.11
75,2012,5.17,3.50,0.10
76,2012,3.92,2.25,0.16
77,2012,,,
78,2012,,,
79,2012,4.17,4.12,0.12
80,2012,3.21,2.21,0.13
81,2012,1.92,2.21,0.26
82,2012,3.83,4.79,0.13
83,2012,4.62,2.54,0.11
84,2012,4.12,4.79,0.16
85,2012,3.33,3.96,0.15
86,2012,3.04,3.50,0.23
87,2012,3.79,4.12,0.20
88,2012,3.17,5.00,0.17
89,2012,3.79,3.96,0.10
90,2012,2.21,1.92,0.13
91,2012,3.96,3.50,0.18
92,2012,4.17,3.92,0.12
93,2012,4.67,4.83,0.10
94,2012,4.21,4.88,0.11
95,2012,4.29,6.00,0.26
96,2012,3.62,3.50,0.20
97,2012,3.92,3.96,0.19
98,2012,3.46,3.71,0.16
99,2012,3.88,3.75,0.13
100,2012,2.88,4.25,0.06
101,2012,3.17,2.58,0.15
102,2012,2.92,5.58,0.15
103,2012,3.96,4.71,0.13
104,2012,4.25,4.38,0.27
105,2012,3.08,2.62,0.21
106,2012,5.04,3.75,0.13
107,2012,4.29,3.42,0.16
108,2012,3.62,4.88,0.13
109,2012,4.08,4.79,0.15
110,2012,3.92,3.12,0.10
111,2012,4.21,3.96,0.20
112,2012,2.38,3.96,0.20
113,2012,,,
114,2012,6.00,4.29,0.13
115,2012,5.17,4.25,0.20
116,2012,4.67,5.17,0.17
117,2012,3.62,4.21,0.20
118,2012,,,
119,2012,2.92,4.00,0.13
120,2012,,,
121,2012,3.62,4.25,0.13
122,2012,3.50,3.42,0.12
123,2012,2.96,3.50,0.11
124,2012,2.54,1.62,0.19
125,2012,3.25,1.29,0.13
126,2012,,,
127,2012,4.17,3.79,0.15
128,2012,3.25,3.38,0.09
129,2012,3.08,3.29,0.17
130,2012,4.96,4.62,0.10
131,2012,3.62,4.08,0.08
132,2012,1.96,1.17,1.00
133,2012,4.00,2.12,0.11
134,2012,3.67,3.50,0.11
135,2012,2.46,2.12,0.19
136,2012,3.38,1.79,0.33
137,2012,3.08,3.67,0.10
138,2012,3.88,2.79,0.11
139,2012,3.58,3.42,0.25
140,2012,,,
141,2012,3.67,4.25,0.19
142,2012,3.29,2.92,0.12
143,2012,2.42,4.75,0.09
144,2012,2.92,3.04,0.16
145,2012,4.75,6.96,0.22
146,2012,2.50,4.08,0.11
147,2012,,,
148,2012,4.42,3.75,0.17
149,2012,4.79,3.62,0.10
150,2012,,,
151,2012,4.33,2.58,0.12
152,2012,3.88,1.83,0.13
153,2012,6.75,4.21,0.16
154,2012,4.88,5.71,0.08
155,2012,2.83,1.12,0.11
156,2012,1.71,4.08,0.88
157,2012,3.17,3.08,0.11
158,2012,3.38,3.79,0.13
159,2012,3.88,3.33,0.19
160,2012,6.58,2.50,0.15
161,2012,3.17,2.29,0.16
162,2012,3.25,3.25,0.18
163,2012,4.33,5.58,0.16
164,2012,4.29,4.54,0.09
165,2012,4.12,4.00,0.12
166,2012,,,
167,2012,3.62,3.21,0.12
168,2012,,,
169,2012,4.25,1.92,0.12
170,2012,2.38,4.00,0.25
171,2012,3.79,3.38,0.12
172,2012,4.54,5.83,0.14
173,2012,4.12,3.75,0.13
174,2012,3.83,3.58,0.07
175,2012,3.12,3.54,0.13
176,2012,2.58,4.08,0.20
177,2012,3.38,4.58,0.13
178,2012,3.71,3.46,0.19
179,2012,2.96,3.46,0.09
180,2012,6.79,5.83,0.09
181,2012,3.08,2.83,0.18
182,2012,5.29,4.96,0.09
183,2012,4.71,3.92,0.12
184,2012,3.58,4.42,0.22
185,2012,4.42,3.33,0.12
186,2012,4.58,3.29,0.09
187,2012,3.29,3.33,0.11
188,2012,3.92,5.08,0.16
189,2012,4.25,4.71,0.11
190,2012,4.38,2.54,0.15
191,2012,2.88,3.67,0.22
192,2012,3.42,3.21,0.09
193,2012,3.96,4.58,0.12
194,2012,4.33,4.08,0.09
195,2012,4.88,3.33,0.15
196,2012,4.92,3.12,0.12
197,2012,3.67,2.21,0.12
198,2012,3.33,3.42,0.22
199,2012,5.25,5.42,0.10
200,2012,2.08,5.67,0.16
201,2012,4.38,3.29,0.16
202,2012,4.75,2.67,0.20
203,2012,4.88,4.04,0.13
204,2012,3.62,3.08,0.13
205,2012,3.71,4.50,0.01
206,2012,4.46,4.50,0.10
207,2012,4.50,5.12,0.11
208,2012,2.17,4.71,0.09
209,2012,4.96,4.75,0.11
210,2012,7.17,3.08,0.13
211,2012,4.83,3.33,0.32
212,2012,4.67,3.54,0.13
213,2012,2.75,3.92,0.10
214,2012,,,
215,2012,3.67,,0.15
1,2013,3.79,3.67,0.13
2,2013,,,
3,2013,,,
4,2013,4.25,4.33,0.21
5,2013,4.38,4.08,0.14
6,2013,3.50,3.04,0.09
7,2013,3.67,4.71,0.14
8,2013,3.54,3.75,0.39
9,2013,3.25,4.17,0.17
10,2013,4.25,5.12,0.12
11,2013,3.50,3.29,0.09
12,2013,4.96,5.79,0.09
13,2013,5.42,4.33,0.08
14,2013,3.33,5.29,0.08
15,2013,4.71,3.83,0.11
16,2013,3.12,4.50,0.11
17,2013,3.79,4.50,0.13
18,2013,3.54,3.71,0.08
19,2013,3.21,5.62,0.13
20,2013,3.75,4.21,0.08
21,2013,4.50,4.62,0.08
22,2013,4.67,4.12,0.13
23,2013,3.54,4.25,0.09
24,2013,6.62,4.62,0.13
25,2013,3.92,3.79,0.11
26,2013,3.96,3.71,0.09
27,2013,5.54,4.46,0.13
28,2013,4.50,4.38,0.17
29,2013,4.12,4.67,0.12
30,2013,3.33,4.38,0.16
31,2013,,,
32,2013,,,
33,2013,4.29,5.38,0.21
34,2013,4.88,3.79,0.08
35,2013,2.58,3.38,0.12
36,2013,,,
37,2013,4.46,3.38,0.19
38,2013,5.50,3.54,0.14
39,2013,5.46,4.46,0.07
40,2013,3.46,2.54,0.11
41,2013,5.38,4.71,0.21
42,2013,3.38,5.29,
43,2013,2.67,5.00,0.18
44,2013,3.50,3.00,0.13
45,2013,4.46,4.04,0.08
46,2013,3.42,4.25,0.16
47,2013,5.25,3.42,0.11
48,2013,4.83,3.38,0.14
49,2013,3.00,3.62,0.09
50,2013,3.08,4.29,0.11
51,2013,3.92,3.62,0.17
52,2013,4.83,3.96,0.15
53,2013,4.75,4.21,0.24
54,2013,5.75,4.75,0.24
55,2013,,,
56,2013,2.71,3.38,0.12
57,2013,,,
58,2013,4.58,4.75,0.21
59,2013,4.00,1.75,0.59
60,2013,4.33,5.58,0.09
61,2013,,,
62,2013,3.83,3.79,0.12
63,2013,3.75,4.21,0.11
64,2013,2.71,4.00,0.09
65,2013,4.25,4.58,0.09
66,2013,5.25,5.33,0.07
67,2013,3.92,2.42,0.25
68,2013,4.50,4.12,0.10
69,2013,4.50,3.96,0.11
70,2013,3.92,4.83,0.20
71,2013,2.83,4.33,0.10
72,2013,3.17,4.12,0.09
73,2013,3.42,6.29,0.14
74,2013,4.17,3.96,0.11
75,2013,5.00,5.88,0.08
76,2013,3.79,4.46,0.16
77,2013,,,
78,2013,,,
79,2013,3.83,5.29,0.10
80,2013,3.00,2.96,0.11
81,2013,4.04,4.12,0.36
82,2013,4.29,4.38,0.14
83,2013,3.83,3.67,0.08
84,2013,2.88,4.38,0.07
85,2013,2.62,3.75,0.16
86,2013,4.96,2.04,0.12
87,2013,5.08,4.42,0.16
88,2013,3.08,2.38,0.13
89,2013,3.33,4.58,0.16
90,2013,3.00,3.21,0.13
91,2013,4.75,3.46,0.10
92,2013,3.96,3.75,0.12
93,2013,5.75,5.38,0.09
94,2013,3.96,3.50,0.17
95,2013,4.08,4.38,0.24
96,2013,3.25,5.12,0.11
97,2013,5.12,3.96,0.14
98,2013,3.58,4.21,0.10
99,2013,3.29,2.50,0.09
100,2013,4.46,4.38,0.08
101,2013,3.12,4.83,0.17
102,2013,4.67,5.25,0.14
103,2013,4.33,4.58,0.15
104,2013,3.96,4.12,0.21
105,2013,3.54,2.21,0.15
106,2013,3.88,5.96,0.08
107,2013,3.12,3.75,0.20
108,2013,4.17,5.00,0.16
109,2013,4.75,4.75,0.08
110,2013,4.25,3.92,0.08
111,2013,3.17,3.46,0.17
112,2013,2.54,4.08,0.27
113,2013,,,
114,2013,3.83,3.29,0.25
115,2013,3.08,3.67,0.13
116,2013,3.50,4.33,0.11
117,2013,5.17,5.00,0.20
118,2013,,,
119,2013,3.33,2.25,0.20
120,2013,,,
121,2013,,,
122,2013,4.96,3.58,0.08
123,2013,3.83,4.79,0.10
124,2013,4.50,2.88,0.29
125,2013,3.67,5.71,0.15
126,2013,,,
127,2013,3.04,2.92,0.11
128,2013,2.92,4.12,0.13
129,2013,4.04,2.42,0.17
130,2013,4.38,5.46,0.12
131,2013,4.12,4.50,0.13
132,2013,,,
133,2013,3.12,3.46,0.15
134,2013,3.04,5.08,0.10
135,2013,2.46,5.17,0.13
136,2013,5.33,2.96,0.20
137,2013,3.88,3.38,0.17
138,2013,3.17,4.33,0.08
139,2013,2.12,2.96,0.18
140,2013,,,
141,2013,4.25,4.92,0.09
142,2013,3.92,1.96,0.14
143,2013,,,0.21
144,2013,4.83,3.50,0.10
145,2013,5.88,5.00,0.14
146,2013,4.75,5.33,0.09
147,2013,,,
148,2013,4.42,3.83,0.09
149,2013,4.58,4.92,0.12
150,2013,,,
151,2013,4.08,3.12,0.18
152,2013,4.75,5.17,0.08
153,2013,3.54,3.33,0.13
154,2013,3.67,4.71,0.06
155,2013,3.96,5.21,0.09
156,2013,1.75,1.12,1.00
157,2013,3.88,2.88,0.11
158,2013,3.46,3.04,0.14
159,2013,2.04,4.50,0.16
160,2013,4.62,4.38,0.14
161,2013,3.83,3.04,0.10
162,2013,3.33,3.83,0.16
163,2013,3.83,5.21,0.16
164,2013,3.38,4.50,0.12
165,2013,6.33,4.58,0.10
166,2013,,,
167,2013,4.58,4.62,0.17
168,2013,,,
169,2013,3.25,3.83,0.12
170,2013,3.17,3.92,0.45
171,2013,5.08,5.17,0.09
172,2013,4.42,4.71,0.11
173,2013,4.50,5.00,0.11
174,2013,3.88,5.33,0.08
175,2013,,,
176,2013,2.83,4.17,0.14
177,2013,3.25,4.58,0.13
178,2013,4.17,4.58,0.26
179,2013,4.08,4.33,0.17
180,2013,4.50,3.96,0.08
181,2013,4.21,5.71,0.10
182,2013,4.17,2.92,0.17
183,2013,3.83,4.50,0.11
184,2013,5.29,3.33,0.12
185,2013,,,
186,2013,4.00,4.08,0.13
187,2013,5.00,3.54,0.11
188,2013,3.96,3.83,0.14
189,2013,4.50,4.29,0.09
190,2013,4.83,5.08,0.11
191,2013,3.92,3.33,0.25
192,2013,3.79,3.79,0.10
193,2013,4.71,3.96,0.09
194,2013,5.29,4.33,0.11
195,2013,3.88,4.25,0.07
196,2013,4.58,3.25,0.10
197,2013,,,
198,2013,2.42,4.33,0.16
199,2013,4.04,5.83,0.11
200,2013,1.75,2.38,0.51
201,2013,3.92,5.04,0.09
202,2013,2.42,6.00,0.12
203,2013,5.00,3.00,0.13
204,2013,4.67,3.58,0.16
205,2013,2.71,3.17,0.14
206,2013,3.75,3.42,0.09
207,2013,3.96,4.00,0.16
208,2013,3.58,4.17,0.10
209,2013,4.29,4.58,0.08
210,2013,4.12,3.79,0.13
211,2013,3.92,4.04,0.12
212,2013,3.67,5.96,0.10
